block_id,lon_min,lon_max,lat_min,lat_max,n_nure,n_positive_labels,mean_p,max_p,loco_auc,nearest_gold_deg,nearest_gold_km,spatial_flag,campaign_class,pour_lon,pour_lat,pour_snap_lon,pour_snap_lat,pour_elev_m,n_nure_spots,n_field_spots,catchment_ok,catchment_area_deg2,notes,walk_rank,n_pan_locations
-3049904,-122.0,-121.6,38.400000000000006,38.8,18,0,0.3963,0.44,,0.2808,31.2,far_from_known_gold,watch,-121.671,38.7641,-121.670972,38.779583,3.5,4,4,False,0.7895,catchment_too_large_used_cell_spots,1.0,0
-3049903,-122.0,-121.6,38.8,39.2,16,4,0.397,0.445,0.1458,0.2356,26.1,far_from_known_gold,watch,-121.6703,38.8174,-121.691528,38.813472,5.2,4,4,False,0.7897,catchment_too_large_used_cell_spots,2.0,0
-3039903,-121.6,-121.2,38.8,39.2,77,63,0.3815,0.46,0.8078,0.1944,21.6,far_from_known_gold,watch,-121.5508,38.8147,-121.564583,38.82875,5.6,4,4,True,0.0359,,3.0,2
-3039904,-121.6,-121.2,38.400000000000006,38.8,116,91,0.3539,0.45,0.7571,0.1119,12.4,near_known_gold,watch,-121.5668,38.5348,-121.555139,38.529306,1.7,4,4,True,0.0107,,4.0,2
-3019904,-120.79999999999998,-120.39999999999998,38.400000000000006,38.8,105,100,0.3651,0.48,0.665,0.0246,2.7,near_known_gold,watch,-120.7802,38.5994,-120.780139,38.59875,395.6,3,3,True,0.0213,,5.0,2
-3019903,-120.79999999999998,-120.39999999999998,38.8,39.2,75,63,0.3507,0.515,0.506,0.0243,2.7,near_known_gold,watch,-120.6238,38.964,-120.62375,38.964306,674.4,2,2,True,0.0165,,6.0,2
-3029904,-121.2,-120.79999999999998,38.400000000000006,38.8,116,116,0.4063,0.47,,0.0184,2.0,near_known_gold,watch,-121.1922,38.6783,-121.191528,38.67875,39.1,4,4,False,0.3517,catchment_too_large_used_cell_spots,7.0,0
-3029903,-121.2,-120.79999999999998,38.8,39.2,73,71,0.4052,0.49,0.4789,0.0113,1.2,near_known_gold,watch,-121.1945,38.8543,-121.180972,38.845694,125.3,3,3,True,0.0025,,8.0,2
-3049902,-122.0,-121.6,39.2,39.6,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3049901,-122.0,-121.6,39.6,40.0,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3049900,-122.0,-121.6,40.0,40.4,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3039902,-121.6,-121.2,39.2,39.6,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3039901,-121.6,-121.2,39.6,40.0,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3039900,-121.6,-121.2,40.0,40.4,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3029902,-121.2,-120.79999999999998,39.2,39.6,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3029901,-121.2,-120.79999999999998,39.6,40.0,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3029900,-121.2,-120.79999999999998,40.0,40.4,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3019902,-120.79999999999998,-120.39999999999998,39.2,39.6,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3019901,-120.79999999999998,-120.39999999999998,39.6,40.0,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3019900,-120.79999999999998,-120.39999999999998,40.0,40.4,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3009904,-120.39999999999998,-119.99999999999996,38.400000000000006,38.8,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3009903,-120.39999999999998,-119.99999999999996,38.8,39.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3009902,-120.39999999999998,-119.99999999999996,39.2,39.6,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3009901,-120.39999999999998,-119.99999999999996,39.6,40.0,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
-3009900,-120.39999999999998,-119.99999999999996,40.0,40.4,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0
