report_id,name,creek_name,lon,lat,gold_class,location_precision,geom_confidence,source_type,source_cite,source_url,date_approx,hours_or_pans,public_land,notes,block_id,campaign_class,walk_rank,catchment_hit,nearest_pan_pin_m,pin_scored
CA-SYR,South Yuba Recreation Area,South Yuba River,-120.9717,39.338755,unknown,reach,4,pamphlet,BLM / Recreation.gov South Yuba Recreation Area GPS; hands-and-pans only,https://www.recreation.gov/gateways/612,2026,,yes,Published campground GPS. BLM: gold panning allowed hands and pans only.,,,,False,,False
CA-EDW,Edwards Crossing,South Yuba River,-120.99,39.33,unknown,reach,3,pamphlet,BLM South Yuba Recreation Area directions (Edwards Crossing bridge),https://www.blm.gov/visit/south-yuba-recreation-area,2026,,yes,Access point named on the BLM page. Not a hole.,,,,False,,False
CA-PUR,Purdon Crossing,South Yuba River,-121.048,39.327,unknown,reach,3,pamphlet,South Yuba River State Park / BLM South Yuba crossings,https://www.parks.ca.gov/?page_id=496,2026,,yes,Named public crossing on the South Yuba.,,,,False,,False
CA-BRP,Bridgeport South Yuba SP,South Yuba River,-121.1953,39.2925,unknown,reach,3,pamphlet,California State Parks South Yuba River SP (Bridgeport),https://www.parks.ca.gov/?page_id=496,2026,,yes,Covered-bridge day-use area. Pan rules follow State Parks.,,,,False,,False
CA-H49,Highway 49 South Yuba,South Yuba River,-121.0936,39.2964,unknown,reach,3,pamphlet,California State Parks South Yuba River SP Highway 49 crossing,https://www.parks.ca.gov/?page_id=496,2026,,yes,Named public crossing.,,,,False,,False
CA-MAL,Malakoff Diggins SHP,Humbug Creek,-120.9194,39.3713,unknown,district,4,pamphlet,California State Parks Malakoff Diggins SHP; USGS GNIS,https://www.parks.ca.gov/?page_id=494,2026,,yes,Hydraulic pit park. District; not a catchment hit.,,,,False,,False
CA-MAR,Marshall Gold Discovery SHP,South Fork American River,-120.8941,38.8002,unknown,reach,4,pamphlet,California State Parks Marshall Gold Discovery SHP; Sutter Mill,https://www.parks.ca.gov/?page_id=484,2026,,yes,Coloma discovery site. State Parks pan-only rules.,,,,False,,False
CA-AUB,Auburn State Recreation Area,North Fork American River,-121.0691,38.8907,unknown,reach,3,pamphlet,California State Parks Auburn SRA gold-panning rules (pan only in perennial beds),https://www.parks.ca.gov/?page_id=502,2026,,yes,SRA-wide rule. Point is the recreation-area HQ / confluence side.,,,,False,,False
CA-MAM,Mammoth Bar,North Fork American River,-121.041,38.916,unknown,bar,3,pamphlet,Auburn SRA Mammoth Bar day-use; CA State Parks,https://www.parks.ca.gov/?page_id=502,2026,,yes,Named bar inside Auburn SRA.,,,,False,,False
CA-CHI,Chili Bar,South Fork American River,-120.8166,38.7713,unknown,reach,3,pamphlet,BLM South Fork American River (Chili Bar put-in),https://www.blm.gov/visit/south-fork-american-river,2026,,unknown,Named public put-in. Confirm BLM vs private.,,,,False,,False
CA-DWN,Downieville,North Yuba River,-120.8277,39.5593,unknown,district,3,pamphlet,USGS GNIS Downieville; Clark 1970 Gold Districts of California,https://www.conservation.ca.gov/cgs,1970,,unknown,District. Mapped; not a catchment hit.,,,,False,,False
CA-GDY,Goodyears Bar,North Yuba River,-120.8844,39.5421,unknown,reach,3,pamphlet,USGS GNIS Goodyears Bar; Clark 1970,https://www.conservation.ca.gov/cgs,1970,,unknown,Named bar / settlement on the North Yuba.,,,,False,,False
CA-SIE,Sierra City,North Yuba River,-120.636,39.5596,unknown,reach,3,pamphlet,USGS GNIS Sierra City; Clark 1970,https://www.conservation.ca.gov/cgs,1970,,unknown,North Yuba at Sierra City.,,,,False,,False
CA-ORE,Oregon Creek,Oregon Creek,-120.995,39.444,unknown,creek,3,pamphlet,Tahoe NF Oregon Creek day use (Middle Yuba tributary),https://www.fs.usda.gov/r05/tahoe,2026,,yes,Named USFS day-use creek.,,,,False,,False
CA-ORO,Oroville / Feather,Feather River,-121.5564,39.5138,unknown,reach,3,pamphlet,USGS GNIS Oroville; Lake Oroville SRA / Feather River,https://www.parks.ca.gov/?page_id=462,2026,,unknown,Main-stem town. Confirm SRA vs city rules.,,,,False,,False
CA-SMA,Smartsville,Yuba River,-121.2977,39.2077,unknown,district,3,pamphlet,USGS GNIS Smartsville; Clark 1970 hydraulic district,https://www.conservation.ca.gov/cgs,1970,,unknown,District. Mapped; not a catchment hit.,,,,False,,False
CA-NVC,Nevada City / Deer Creek,Deer Creek,-121.0161,39.2616,unknown,creek,3,pamphlet,USGS GNIS Nevada City; Clark 1970,https://www.conservation.ca.gov/cgs,1970,,unknown,Deer Creek through Nevada City.,,,,False,,False
CA-BUT,Forks of Butte,Butte Creek,-121.628,39.713,unknown,reach,3,pamphlet,BLM Forks of Butte Creek recreation site (day-use / panning),https://www.blm.gov/visit/forks-butte,2026,,yes,BLM site. Confirm current permit.,,,,False,,False
CA-ALG,Alleghany,Kanaka Creek,-120.8411,39.4668,unknown,district,3,pamphlet,USGS GNIS Alleghany; Clark 1970,https://www.conservation.ca.gov/cgs,1970,,unknown,District. Mapped; not a catchment hit.,,,,False,,False
CA-CAM,Camptonville,Middle Yuba River,-121.0488,39.4521,unknown,reach,3,pamphlet,USGS GNIS Camptonville; Middle Yuba / Bullards corridor,https://www.conservation.ca.gov/cgs,1970,,unknown,Named town on the Middle Yuba.,,,,False,,False
CA-HUM,Humbug Creek at North Bloomfield,Humbug Creek,-120.902,39.368,unknown,creek,3,pamphlet,Malakoff Diggins SHP / USGS GNIS North Bloomfield,https://www.parks.ca.gov/?page_id=494,2026,,yes,Creek through the Malakoff hydraulic workings.,,,,False,,False
