walk_rank,block_id,campaign_class,spot_order,role,lon,lat,p_anomalous,elev_m
1.0,-3049904,watch,1,high_p_sample,-121.6595,38.7837,0.435,8.5
1.0,-3049904,watch,2,high_p_sample,-121.6799,38.791,0.44,6.3
1.0,-3049904,watch,3,high_p_sample,-121.6215,38.7011,0.44,4.7
1.0,-3049904,watch,4,high_p_sample,-121.671,38.7641,0.425,3.5
2.0,-3049903,watch,1,high_p_sample,-121.6156,38.8084,0.435,11.3
2.0,-3049903,watch,2,high_p_sample,-121.6783,38.9505,0.435,7.1
2.0,-3049903,watch,3,high_p_sample,-121.6968,38.8936,0.445,5.6
2.0,-3049903,watch,4,high_p_sample,-121.6703,38.8174,0.4036,5.2
3.0,-3039903,watch,1,high_p_sample,-121.151,38.901,0.455,258.2
3.0,-3039903,watch,2,high_p_sample,-121.2931,38.8809,0.46,51.8
3.0,-3039903,watch,3,high_p_sample,-121.357,38.8967,0.445,33.0
3.0,-3039903,watch,4,high_p_sample,-121.5508,38.8147,0.415,5.6
4.0,-3039904,watch,1,high_p_sample,-121.6215,38.7011,0.44,4.7
4.0,-3039904,watch,2,high_p_sample,-121.5996,38.6532,0.45,4.4
4.0,-3039904,watch,3,high_p_sample,-121.638,38.6761,0.41,4.1
4.0,-3039904,watch,4,high_p_sample,-121.5668,38.5348,0.43,1.7
5.0,-3019904,watch,1,high_p_sample,-120.4512,38.5794,0.405,1334.4
5.0,-3019904,watch,2,high_p_sample,-120.654,38.6403,0.42,557.7
5.0,-3019904,watch,3,high_p_sample,-120.7802,38.5994,0.405,395.6
6.0,-3019903,watch,1,high_p_sample,-120.5146,38.9641,0.415,1370.7
6.0,-3019903,watch,2,high_p_sample,-120.6238,38.964,0.43,674.4
7.0,-3029904,watch,1,high_p_sample,-120.9164,38.7167,0.465,427.8
7.0,-3029904,watch,2,high_p_sample,-121.0826,38.7874,0.46,379.9
7.0,-3029904,watch,3,high_p_sample,-121.0478,38.5143,0.47,63.1
7.0,-3029904,watch,4,high_p_sample,-121.1922,38.6783,0.4286,39.1
8.0,-3029903,watch,1,high_p_sample,-121.1237,38.8737,0.4286,240.1
8.0,-3029903,watch,2,high_p_sample,-121.1571,38.8442,0.41,151.2
8.0,-3029903,watch,3,high_p_sample,-121.1945,38.8543,0.425,125.3
