report_id,name,creek_name,lon,lat,public_land,access_type,access_ok,claim_status,manager_name,pub_access,access_reason,chem_note
CA-SYR,South Yuba Recreation Area,South Yuba River,-120.9717,39.338755,yes,blm,yes,free,BLM,OA,PAD-US Mang=BLM type=blm Pub_Access=OA; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-EDW,Edwards Crossing,South Yuba River,-120.99,39.33,yes,state_park,yes,free,SPR,OA,PAD-US Mang=SPR type=state_park Pub_Access=OA; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-PUR,Purdon Crossing,South Yuba River,-121.048,39.327,yes,state_park,yes,free,SPR,OA,PAD-US Mang=SPR type=state_park Pub_Access=OA; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-BRP,Bridgeport South Yuba SP,South Yuba River,-121.1953,39.2925,yes,state_park,yes,free,SPR,OA,PAD-US Mang=SPR type=state_park Pub_Access=OA; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-H49,Highway 49 South Yuba,South Yuba River,-121.0936,39.2964,yes,state_park,yes,free,SPR,OA,PAD-US Mang=SPR type=state_park Pub_Access=OA; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-MAL,Malakoff Diggins SHP,Humbug Creek,-120.9194,39.3713,yes,state_park,yes,free,SPR,OA,PAD-US Mang=SPR type=state_park Pub_Access=OA; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-MAR,Marshall Gold Discovery SHP,South Fork American River,-120.8941,38.8002,yes,state_park,yes,free,SPR,OA,PAD-US Mang=SPR type=state_park Pub_Access=OA; no MLRS claim in buffer,NURE 2.0 km P=0.89
CA-AUB,Auburn State Recreation Area,North Fork American River,-121.0691,38.8907,yes,local_gov,no,free,CITY,OA,PAD-US Mang=CITY type=local_gov Pub_Access=OA; no MLRS claim in buffer,NURE 1.9 km P=0.99
CA-MAM,Mammoth Bar,North Fork American River,-121.041,38.916,yes,private,no,free,,,not in PAD-US public layer; no MLRS claim in buffer,NURE 2.1 km P=0.95
CA-ORE,Oregon Creek,Oregon Creek,-120.995,39.444,yes,claimed,no,claimed,Pike City #1,,active MLRS claim: Pike City #1,outside NURE coverage (north of 39.00°)
CA-BUT,Forks of Butte,Butte Creek,-121.628,39.713,yes,private,no,free,,,not in PAD-US public layer; no MLRS claim in buffer,outside NURE coverage (north of 39.00°)
CA-HUM,Humbug Creek at North Bloomfield,Humbug Creek,-120.902,39.368,yes,claimed,no,claimed,THE BLACK DIGGINS,,active MLRS claim: THE BLACK DIGGINS,outside NURE coverage (north of 39.00°)
