lat,lon,p_anomalous
38.85,-121.451,0.03
38.7656,-121.5417,0.09261061946902654
38.7805,-121.5168,0.06
38.79,-121.5419,0.135
38.8085,-121.518,0.022478991596638655
38.8147,-121.5508,0.035
38.8384,-121.542,0.035
38.8449,-121.5106,0.04057956777996071
38.8675,-121.5284,0.14321417539524306
38.8669,-121.5554,0.115
38.891,-121.5249,0.02
38.9096,-121.513,0.02
38.9391,-121.5241,0.26331460674157303
38.9604,-121.5061,0.015
38.9959,-121.5408,0.825
38.9921,-121.572,0.021019587337413395
38.9703,-121.5555,0.205
38.9479,-121.5526,0.0
38.9254,-121.548,0.06
38.9174,-121.5679,0.05
38.8942,-121.5548,0.045
38.8901,-121.598,0.07985394152527146
38.7878,-121.6177,0.08145617036337896
38.8084,-121.6156,0.03
38.8374,-121.614,0.035
38.7622,-121.5766,0.015704057279236277
38.7781,-121.5912,0.055447157930565004
38.8361,-121.5865,0.054070848084969425
38.8581,-121.5983,0.023540595740774738
38.9269,-121.6045,0.10089665653495442
38.9457,-121.6046,0.045
38.9638,-121.5872,0.07
38.9742,-121.6138,0.005
38.9905,-121.5944,0.09
38.9807,-121.6544,0.01
38.9952,-121.6925,0.02652061855670103
38.9505,-121.6783,0.095
38.9245,-121.6874,0.015
38.8936,-121.6968,0.065
38.9226,-121.6628,0.01
38.8935,-121.6519,0.095
38.8201,-121.6981,0.095
38.8583,-121.6813,0.08
38.8586,-121.6631,0.02
38.8174,-121.6703,0.07
38.7837,-121.6595,0.07
38.7641,-121.671,0.08
38.791,-121.6799,0.04
38.78,-121.4814,0.04
38.7554,-121.4696,0.020896656534954407
38.7731,-121.4546,0.055
38.7901,-121.4507,0.035
38.8244,-121.46,0.035
38.8674,-121.4692,0.045
38.8493,-121.4876,0.06
38.8245,-121.4939,0.025
38.803,-121.4834,0.05
38.897,-121.4879,0.022468619246861925
38.7577,-121.4311,0.115
38.8968,-121.4504,0.28
38.8019,-121.4238,0.05697986577181208
38.8969,-121.4133,0.14
38.795,-121.3971,0.1
38.9258,-121.4139,0.01
38.8232,-121.4245,0.02
38.9208,-121.4514,0.155
38.8247,-121.3861,0.02
38.9198,-121.4878,0.29
38.8242,-121.3489,0.14
38.9456,-121.4875,0.015
38.846,-121.3689,0.05
38.9688,-121.4869,0.08
38.8463,-121.4092,0.065
38.9898,-121.4862,0.08681387740339166
38.8678,-121.349,0.10123430962343097
38.9695,-121.4502,0.05197986577181208
38.8683,-121.4045,0.005
38.9462,-121.45,0.025
38.8386,-121.3203,0.05
38.9405,-121.3862,0.15
38.8631,-121.301,0.825
38.9593,-121.4139,0.085
38.758,-121.3569,0.3833367719931484
38.987,-121.4139,0.05
38.7804,-121.3701,0.08
38.9895,-121.3886,0.06
38.8003,-121.3478,0.145
38.9848,-121.357,0.11589665653495441
38.7953,-121.2642,0.295
38.9844,-121.3206,0.6994718328128823
38.8178,-121.3033,0.05
38.9845,-121.2834,0.935
38.7944,-121.3063,0.035
38.9626,-121.293,0.75
38.7664,-121.2793,0.78
38.9517,-121.2649,0.98
