walk_rank,block_id,campaign_class,spot_order,role,lon,lat,p_anomalous,elev_m
1.0,-2639905,expedition,1,high_p_sample,-105.2325,38.3578,0.0,1858.8
1.0,-2639905,expedition,2,high_p_sample,-105.2047,38.3731,0.09,1751.4
2.0,-2649905,confirm,1,high_p_sample,-105.6897,38.4344,0.67,2328.0
2.0,-2649905,confirm,2,high_p_sample,-105.6506,38.4253,0.74,2230.6
2.0,-2649905,confirm,3,high_p_sample,-105.6394,38.3936,0.145,1916.3
3.0,-2629905,confirm,1,high_p_sample,-105.2867,38.2061,0.7,2585.4
3.0,-2629905,confirm,2,high_p_sample,-105.27,38.2189,0.685,2539.7
3.0,-2629905,confirm,3,high_p_sample,-105.2644,38.2275,0.69,2506.7
3.0,-2629905,confirm,4,high_p_sample,-105.1353,38.3953,0.62,1585.4
4.0,-2629904,confirm,1,high_p_sample,-105.1117,38.6508,0.665,2739.4
4.0,-2629904,confirm,2,high_p_sample,-105.1761,38.4486,0.685,1631.2
4.0,-2629904,confirm,3,high_p_sample,-105.1839,38.4478,0.735,1619.1
4.0,-2629904,confirm,4,high_p_sample,-105.195,38.4267,0.65,1614.3
5.0,-2649904,confirm,1,high_p_sample,-105.6506,38.4253,0.74,2230.6
5.0,-2649904,confirm,2,high_p_sample,-105.6928,38.415,0.75,2210.4
5.0,-2649904,confirm,3,high_p_sample,-105.8292,38.4411,0.73,2049.6
5.0,-2649904,confirm,4,high_p_sample,-105.6097,38.4125,0.695,1898.6
6.0,-2639904,confirm,1,high_p_sample,-105.2539,38.4653,0.75,1732.2
6.0,-2639904,confirm,2,high_p_sample,-105.2539,38.4383,0.65,1638.5
