lon,lat,p_anomalous,label,nearest_gold_deg
-105.4972,38.5547,0.43,1,0.06223300169524723
-105.4958,38.5561,0.345,1,0.06056089910164863
-105.4878,38.5631,0.425,1,0.05242291960583809
-105.8272,38.6961,0.29,1,0.06740932428084473
-105.2369,38.6756,0.23,1,0.1302032077177948
-105.225,38.6661,0.215,1,0.11704191257835851
-105.2161,38.6494,0.38,1,0.10742008797241155
-105.2175,38.6281,0.385,1,0.111512731560128
-105.2283,38.6911,0.225,1,0.12559092841444638
-105.2303,38.6928,0.25,1,0.12801905834680036
-105.2144,38.6275,0.38,1,0.10862863940969103
-105.1044,38.0647,0.405,0,0.22585011157844753
-105.1061,38.065,0.32,0,0.22413530489415973
-105.1361,38.06,0.315,0,0.19727755802421418
-105.1064,38.1356,0.375,0,0.19339692086484295
-105.1436,38.1153,0.4,0,0.1694656218824286
-105.1847,38.1447,0.335,1,0.1190220357748867
-105.1908,38.1606,0.345,1,0.10601911620080759
-105.1922,38.1644,0.38,1,0.10313806765690238
-105.1922,38.1617,0.36,1,0.10427993574988205
-105.2278,38.1189,0.28,1,0.09361613589546597
-105.2231,38.1511,0.4456554307116105,1,0.08421746255973064
-105.2328,38.1789,0.445,1,0.06027368414159047
-105.2178,38.1667,0.37,1,0.0793177218533183
-105.2436,38.2017,0.385,1,0.042887632249866525
-105.1083,38.1808,0.4236124401913876,0,0.1797761636035202
-105.47,38.195,0.295,1,0.03592053730110287
-105.4706,38.1256,0.4,1,0.058372022407999165
-105.485,38.1444,0.375,1,0.05460671204165011
-105.4917,38.1917,0.38,1,0.05427044315278063
-105.4222,38.2133,0.28,1,0.04195870589043405
-105.4111,38.2164,0.315,1,0.050234539910306145
-105.4069,38.1781,0.435,1,0.03318916992033144
-105.3472,38.2297,0.405,1,0.024491978278618515
-105.3778,38.2431,0.37,1,0.054946746946475444
-105.6375,38.6619,0.39,0,0.16129527116441056
-105.2542,38.2233,0.415,1,0.035926494401765874
-105.2644,38.2275,0.385,1,0.02996466252104465
-105.3608,38.1747,0.41,1,0.04220678855350047
-105.3611,38.1686,0.345,1,0.04532023499497327
-105.5567,38.2089,0.41,1,0.0666605925566229
-105.5292,38.1811,0.4136124401913876,1,0.08684397791442179
-105.595,38.1683,0.255,1,0.0360589032001848
-105.4894,38.5614,0.435,1,0.05427919030346928
-105.53,38.1547,0.39,1,0.07466107754379558
-105.5117,38.1311,0.325,1,0.08424932640680123
-105.5867,38.1306,0.345,1,0.014845420169209214
-105.6022,38.1053,0.39280688463583197,1,0.027522218297222255
-105.5806,38.1239,0.44,1,0.022609655017272762
-105.5522,38.1122,0.44,1,0.05332395803014426
-105.5833,38.0722,0.39563459999163725,1,0.06324917786026993
-105.6236,38.6586,0.41,1,0.14703705145302162
-105.5389,38.1047,0.452806884635832,1,0.06851220694154345
-105.5397,38.0961,0.37,1,0.07177775769694365
-105.5425,38.0847,0.29,1,0.07603569227672197
-105.5389,38.0875,0.265,1,0.07717996177765987
-105.5206,38.0875,0.345,1,0.0926196766351554
-105.5081,38.0578,0.35,1,0.1196981975637109
-105.4636,38.0861,0.35361244019138754,1,0.09226718268159581
-105.4444,38.0711,0.457806884635832,1,0.10428413589803134
-105.4503,38.0689,0.4636124401913876,1,0.10689032229345834
-105.3278,38.0722,0.33,1,0.043343849621367045
-105.3661,38.0661,0.41780688463583204,1,0.053943779066728786
-105.3661,38.0639,0.295,1,0.05589149577529874
-105.3878,38.1094,0.425,1,0.03989743099499513
-105.6172,38.2669,0.375,1,0.025001891928401937
-105.5983,38.2544,0.43780688463583206,1,0.012457712470591254
-105.6328,38.2106,0.295,1,0.06808302725349226
-105.635,38.2125,0.45063459999163724,1,0.06792898203270832
-105.5844,38.2528,0.305,1,0.014752037147460923
-105.5853,38.415,0.3678277153558052,1,0.010808908363013637
-105.5786,38.4711,0.28,1,0.054277255825989544
-105.5811,38.4683,0.36,1,0.05379803435071521
-105.6072,38.4539,0.26383054299436776,1,0.043432873494623256
-105.6128,38.4756,0.365,1,0.06584199647641176
-105.5508,38.4611,0.345,1,0.03283206511933329
-105.5542,38.4581,0.38,1,0.030791110730210736
-105.6506,38.4253,0.21,1,0.02736904273079
-105.6414,38.4478,0.385,1,0.047200174787803084
-105.6428,38.4492,0.385,1,0.047144082343382854
-105.6386,38.4175,0.215,1,0.03780556176014087
-105.6394,38.3936,0.225,1,0.0432922683628401
-105.6178,38.4267,0.425,1,0.026539677842804726
-105.6097,38.4125,0.32,1,0.01401822028646911
-105.5836,38.4083,0.375,1,0.012649367573124912
-105.5894,38.3706,0.305,1,0.04189487438815976
-105.5992,38.3333,0.315,1,0.06836419091893055
-105.6022,38.2969,0.315,1,0.03313901929749616
-105.6114,38.2975,0.46419444444444447,1,0.03747274476202408
-105.6803,38.3261,0.3678277153558052,1,0.05685465416304888
-105.6831,38.3275,0.38,1,0.0546824258788848
-105.6869,38.3692,0.26,1,0.015753974101793355
-105.6881,38.3758,0.28,1,0.011090162307187453
-105.6928,38.415,0.36,1,0.016457475505081653
-105.6897,38.4344,0.455,1,0.022626234772934458
-105.6653,38.4644,0.295,1,0.049544833232127196
-105.6533,38.4819,0.236658258350173,1,0.06972094735443327
-105.7056,38.4303,0.405,1,0.03248329570718657
-105.7344,38.3528,0.43280688463583206,1,0.04515822959328461
-105.1144,38.3969,0.39919444444444446,1,0.041364634653281544
-105.2325,38.3578,0.41780688463583204,1,0.062164714267822295
-105.2392,38.3281,0.26,1,0.07952359209693974
-105.2069,38.3739,0.4141944444444444,1,0.06188555324145084
-105.2047,38.3731,0.425,1,0.061341190891603004
-105.1653,38.3667,0.335,1,0.04523353844217813
-105.1606,38.3661,0.44419444444444445,1,0.04483414993060356
-105.1658,38.3992,0.305,1,0.016607618733586575
-105.1353,38.3953,0.3,1,0.02363702603966728
-105.1258,38.3633,0.4070221598002497,1,0.054620774436104
-105.1381,38.3642,0.402806884635832,1,0.04867378144340564
-105.1631,38.3267,0.417806884635832,1,0.08421779503168975
-105.2022,38.2575,0.345,1,0.09803218349092763
-105.2011,38.2564,0.34,1,0.09841831638470641
-105.1369,38.3044,0.39919444444444446,1,0.10726384759088142
-105.1336,38.2464,0.435,0,0.1575977950353342
-105.195,38.4267,0.455,1,0.023209129669160448
-105.1839,38.4478,0.45,1,0.02586336598357126
-105.1761,38.4486,0.2528277153558052,1,0.024066443443105157
-105.1775,38.4564,0.3478277153558052,1,0.031991087821459256
-105.1244,38.4619,0.397806884635832,1,0.03865196760839652
-105.1281,38.495,0.43419444444444444,1,0.026337475201695874
-105.4722,38.1303,0.38,1,0.05534322903481298
-105.4864,38.1206,0.4064401555471928,1,0.07174079034969848
-105.4997,38.0881,0.43846231534744257,1,0.10568712788225518
