lat,lon,p_anomalous
38.5547,-105.4972,0.02
38.5561,-105.4958,0.1
38.5631,-105.4878,0.015
38.6961,-105.8272,0.005
38.6756,-105.2369,0.045
38.6661,-105.225,0.08
38.6494,-105.2161,0.015
38.6281,-105.2175,0.05
38.6911,-105.2283,0.06
38.6928,-105.2303,0.015
38.6275,-105.2144,0.0
38.0647,-105.1044,0.065
38.065,-105.1061,0.02
38.06,-105.1361,0.045
38.1356,-105.1064,0.01
38.1153,-105.1436,0.02
38.1447,-105.1847,0.03
38.1606,-105.1908,0.1
38.1644,-105.1922,0.05
38.1617,-105.1922,0.025
38.1189,-105.2278,0.065
38.1511,-105.2231,0.035
38.1789,-105.2328,0.055
38.1667,-105.2178,0.025
38.2017,-105.2436,0.02
38.1808,-105.1083,0.06
38.195,-105.47,0.025
38.1256,-105.4706,0.045
38.1444,-105.485,0.06
38.1917,-105.4917,0.03
38.2133,-105.4222,0.085
38.2164,-105.4111,0.025
38.1781,-105.4069,0.02
38.2297,-105.3472,0.69
38.2431,-105.3778,0.065
38.6619,-105.6375,0.03
38.2233,-105.2542,0.01
38.2275,-105.2644,0.69
38.1747,-105.3608,0.045
38.1686,-105.3611,0.025
38.2089,-105.5567,0.04
38.1811,-105.5292,0.0
38.1683,-105.595,0.04
38.5614,-105.4894,0.02
38.1547,-105.53,0.075
38.1311,-105.5117,0.035
38.1306,-105.5867,0.695
38.1053,-105.6022,0.005
38.1239,-105.5806,0.75
38.1122,-105.5522,0.05
38.0722,-105.5833,0.015
38.6586,-105.6236,0.16
38.1047,-105.5389,0.07
38.0961,-105.5397,0.115
38.0847,-105.5425,0.005
38.0875,-105.5389,0.045
38.0875,-105.5206,0.03
38.0578,-105.5081,0.065
38.0861,-105.4636,0.025
38.0711,-105.4444,0.01
38.0689,-105.4503,0.06
38.0722,-105.3278,0.07
38.0661,-105.3661,0.035
38.0639,-105.3661,0.04
38.1094,-105.3878,0.025
38.2669,-105.6172,0.695
38.2544,-105.5983,0.76
38.2106,-105.6328,0.05
38.2125,-105.635,0.015
38.2528,-105.5844,0.67
38.415,-105.5853,0.715
38.4711,-105.5786,0.055
38.4683,-105.5811,0.03
38.4539,-105.6072,0.025
38.4756,-105.6128,0.025
38.4611,-105.5508,0.03
38.4581,-105.5542,0.01
38.4253,-105.6506,0.74
38.4478,-105.6414,0.09
38.4492,-105.6428,0.12
38.4175,-105.6386,0.125
38.3936,-105.6394,0.145
38.4267,-105.6178,0.67
38.4125,-105.6097,0.695
38.4083,-105.5836,0.615
38.3706,-105.5894,0.075
38.3333,-105.5992,0.08
38.2969,-105.6022,0.045
38.2975,-105.6114,0.03
38.3261,-105.6803,0.105
38.3275,-105.6831,0.015
38.3692,-105.6869,0.645
38.3758,-105.6881,0.71
38.415,-105.6928,0.75
38.4344,-105.6897,0.67
38.4644,-105.6653,0.04
38.4819,-105.6533,0.025
38.4303,-105.7056,0.015
38.3528,-105.7344,0.04
38.3969,-105.1144,0.0
38.3578,-105.2325,0.0
38.3281,-105.2392,0.07
38.3739,-105.2069,0.01
38.3731,-105.2047,0.09
38.3667,-105.1653,0.095
38.3661,-105.1606,0.005
38.3992,-105.1658,0.71
38.3953,-105.1353,0.62
38.3633,-105.1258,0.025
38.3642,-105.1381,0.0
38.3267,-105.1631,0.0
38.2575,-105.2022,0.07
38.2564,-105.2011,0.04
38.3044,-105.1369,0.005
38.2464,-105.1336,0.08
38.4267,-105.195,0.65
38.4478,-105.1839,0.735
38.4486,-105.1761,0.685
38.4564,-105.1775,0.085
38.4619,-105.1244,0.035
38.495,-105.1281,0.625
38.1303,-105.4722,0.02
38.1206,-105.4864,0.005
38.0881,-105.4997,0.005
38.0658,-105.4886,0.055
38.05,-105.4889,0.005
38.655,-105.6111,0.0
38.3575,-105.7267,0.09
38.5553,-105.5092,0.045
38.3303,-105.7325,0.07
38.3392,-105.5894,0.055
38.3378,-105.5925,0.01
38.3361,-105.565,0.03
38.3461,-105.3919,0.125
38.3317,-105.4428,0.06
38.3714,-105.4486,0.05
38.3742,-105.4567,0.04
38.4133,-105.4381,0.07
38.5886,-105.5025,0.005
38.4094,-105.4358,0.05
38.43,-105.3897,0.11
38.4022,-105.3256,0.7
38.4136,-105.3311,0.645
38.4161,-105.3289,0.63
38.4675,-105.3706,0.68
38.4869,-105.3717,0.66
38.4653,-105.2539,0.75
38.4383,-105.2539,0.65
38.4192,-105.2708,0.645
38.4194,-105.2764,0.65
38.4519,-105.4936,0.015
38.4408,-105.5353,0.67
38.3681,-105.6431,0.075
38.3678,-105.7081,0.66
38.4431,-105.5383,0.65
38.3006,-105.2578,0.005
38.2858,-105.2919,0.005
38.2875,-105.2856,0.065
38.3075,-105.4619,0.595
38.2628,-105.4503,0.05
38.4942,-105.4094,0.62
38.4892,-105.3853,0.65
38.4625,-105.4567,0.005
38.2728,-105.4381,0.025
38.2864,-105.4336,0.045
38.2931,-105.4367,0.72
38.3014,-105.4242,0.03
38.5853,-105.5081,0.045
38.3161,-105.4144,0.1
38.3203,-105.3475,0.045
38.3189,-105.3456,0.05
38.2733,-105.35,0.025
38.2939,-105.3589,0.05
38.3422,-105.3347,0.045
38.3619,-105.3578,0.03
38.3619,-105.3533,0.045
38.5847,-105.5072,0.03
38.4681,-105.3408,0.07
38.1478,-105.8833,0.025
38.1478,-105.8942,0.045
38.1608,-105.8014,0.0
38.1761,-105.8039,0.03
38.1753,-105.8072,0.095
38.1864,-105.8364,0.055
38.225,-105.9,0.025
38.1011,-105.8917,0.055
38.1003,-105.7994,0.675
38.1006,-105.7672,0.625
38.0711,-105.7756,0.075
38.1331,-105.7861,0.03
38.1256,-105.7844,0.625
38.0572,-105.7672,0.08
38.2422,-105.8397,0.01
38.2153,-105.815,0.115
38.155,-105.8378,0.045
38.0778,-105.8681,0.15
38.6358,-105.5272,0.005
38.6942,-105.1653,0.02
38.6083,-105.2289,0.005
38.6017,-105.2261,0.0
38.5903,-105.2253,0.02
38.5772,-105.23,0.02
38.6,-105.1878,0.04
38.5433,-105.2161,0.02
38.5442,-105.2211,0.025
38.5058,-105.2244,0.06
38.5203,-105.1236,0.02
38.5442,-105.1122,0.0
38.6106,-105.1303,0.03
38.6508,-105.11,0.6
38.6508,-105.1117,0.665
38.5186,-105.4586,0.07
38.6825,-105.4889,0.02
38.6661,-105.4953,0.055
38.6978,-105.3147,0.03
38.6883,-105.3278,0.02
38.6842,-105.3289,0.02
38.6717,-105.385,0.065
38.6311,-105.3644,0.025
38.6275,-105.3631,0.035
38.5856,-105.4186,0.005
38.5458,-105.4247,0.085
38.5303,-105.3878,0.045
38.6119,-105.4439,0.015
38.6172,-105.4461,0.01
38.6428,-105.4731,0.66
38.5197,-105.5703,0.0
38.6417,-105.47,0.595
38.5622,-105.5125,0.025
38.5406,-105.5042,0.0
38.5364,-105.5042,0.095
38.5486,-105.55,0.015
38.6192,-105.5833,0.01
38.6311,-105.5944,0.05
38.6558,-105.6494,0.005
38.6542,-105.685,0.005
38.6369,-105.7261,0.01
38.6361,-105.7408,0.01
38.6744,-105.6933,0.045
38.6889,-105.7169,0.045
38.0508,-105.695,0.0
38.1578,-105.7042,0.015
38.1544,-105.7375,0.01
38.5206,-105.5683,0.015
38.1031,-105.6792,0.02
38.0992,-105.7239,0.04
38.5872,-105.8947,0.095
38.6011,-105.8947,0.05
38.5586,-105.5069,0.03
38.6611,-105.8564,0.66
38.6464,-105.8589,0.67
38.64,-105.8539,0.63
38.6372,-105.8206,0.0
38.6611,-105.8125,0.005
38.6581,-105.8069,0.0
38.6464,-105.8181,0.055
38.6547,-105.8139,0.03
38.6403,-105.7939,0.01
38.5925,-105.7731,0.04
38.6506,-105.7661,0.055
38.69,-105.7694,0.06
38.2853,-105.8886,0.6
38.4714,-105.8772,0.01
38.4431,-105.8394,0.63
38.4075,-105.8783,0.07
38.4089,-105.8789,0.035
38.4878,-105.8583,0.015
38.4664,-105.86,0.03
38.4411,-105.8292,0.73
38.4761,-105.8006,0.07
38.4328,-105.8114,0.675
38.4317,-105.8053,0.665
38.4153,-105.7878,0.645
38.5139,-105.7653,0.075
38.295,-105.7592,0.015
38.3144,-105.7542,0.095
38.3144,-105.7567,0.065
38.3283,-105.8186,0.06
38.3297,-105.8256,0.05
38.3317,-105.8217,0.025
38.3408,-105.7894,0.05
38.3675,-105.7542,0.08
38.3819,-105.7731,0.0
38.4247,-105.8139,0.615
38.4175,-105.8267,0.68
38.3889,-105.8394,0.015
38.4317,-105.8333,0.67
38.5053,-105.8522,0.07
38.5081,-105.8522,0.0
38.5478,-105.8436,0.06
38.5669,-105.8436,0.09
38.5583,-105.5042,0.035
38.6483,-105.4069,0.045
38.5403,-105.26,0.02
38.055,-105.4092,0.035
38.1372,-105.3914,0.015
38.1453,-105.3683,0.015
38.5269,-105.4897,0.115
38.5061,-105.6986,0.025
38.5111,-105.7008,0.07
38.5206,-105.7,0.04
38.5264,-105.735,0.015
38.5439,-105.725,0.045
38.56,-105.6639,0.025
38.5453,-105.6556,0.02
38.5569,-105.6917,0.08
38.5583,-105.6931,0.03
38.5264,-105.6944,0.04
38.5775,-105.5458,0.06
38.5883,-105.5794,0.04
38.6125,-105.575,0.015
38.6242,-105.555,0.05
38.5986,-105.5097,0.06
38.6258,-105.5133,0.02
38.6994,-105.6514,0.02
38.6514,-105.6306,0.015
38.6475,-105.6147,0.025
38.6417,-105.6078,0.055
38.5525,-105.5653,0.02
38.5483,-105.5653,0.01
38.5681,-105.4272,0.065
38.5233,-105.3758,0.075
38.1656,-105.2736,0.025
38.1378,-105.2839,0.015
38.1183,-105.3211,0.65
38.0997,-105.3322,0.605
38.0922,-105.3494,0.675
38.0872,-105.3656,0.03
38.1144,-105.3028,0.655
38.315,-105.1053,0.005
38.1103,-105.2572,0.055
38.1122,-105.3231,0.645
38.1258,-105.3261,0.72
38.2061,-105.2867,0.7
38.2189,-105.27,0.685
38.2358,-105.2744,0.025
38.245,-105.2767,0.06
38.2583,-105.2906,0.07
38.2058,-105.3628,0.67
38.1956,-105.4003,0.09
38.1056,-105.1361,0.06
38.0983,-105.1172,0.1
38.0775,-105.1064,0.095
38.2408,-105.1044,0.005
38.2889,-105.1061,0.035
38.3222,-105.1053,0.01
38.3397,-105.1061,0.0
38.3625,-105.1056,0.025
38.3489,-105.1436,0.02
38.3578,-105.1428,0.005
38.3458,-105.1594,0.015
38.3261,-105.1767,0.0
38.3136,-105.1986,0.04
38.3494,-105.1836,0.025
38.3514,-105.2028,0.045
38.5575,-105.5008,0.005
38.6164,-105.5392,0.01
38.6197,-105.5469,0.0
38.6169,-105.5414,0.02
38.6081,-105.5239,0.08
38.6158,-105.53,0.01
38.6153,-105.5292,0.01
38.6156,-105.5433,0.015
38.6169,-105.5486,0.03
38.6214,-105.5508,0.005
38.6206,-105.5525,0.05
38.625,-105.555,0.0
38.6261,-105.5578,0.0
38.6294,-105.5592,0.0
38.6256,-105.5578,0.02
38.6369,-105.5672,0.04
38.6439,-105.5703,0.05
38.6386,-105.5575,0.015
38.6353,-105.5583,0.0
38.6439,-105.5692,0.095
38.6392,-105.5647,0.02
38.6656,-105.5783,0.005
38.6644,-105.5764,0.035
38.6583,-105.5789,0.025
38.6581,-105.5772,0.005
38.6561,-105.5792,0.005
38.6533,-105.5761,0.0
38.6472,-105.5847,0.005
38.6508,-105.5864,0.005
38.6528,-105.5883,0.01
38.6531,-105.59,0.0
38.64,-105.5911,0.04
38.6394,-105.5881,0.025
38.6431,-105.5928,0.015
38.6469,-105.5969,0.005
38.6461,-105.5981,0.075
38.6472,-105.5872,0.005
38.6453,-105.5844,0.03
38.6406,-105.5733,0.015
38.645,-105.5633,0.0
38.6453,-105.5625,0.015
38.6431,-105.5589,0.015
38.6394,-105.5581,0.06
38.6047,-105.5583,0.065
38.6075,-105.5742,0.0
38.6067,-105.5739,0.07
38.6047,-105.5714,0.025
38.6014,-105.5442,0.03
38.6008,-105.5447,0.025
38.5975,-105.5383,0.005
38.5922,-105.5381,0.01
38.5917,-105.5367,0.02
38.6025,-105.5494,0.075
38.5364,-105.4972,0.065
38.5367,-105.4928,0.02
38.5356,-105.4917,0.01
38.5319,-105.4883,0.015
38.5272,-105.4856,0.005
38.5256,-105.4856,0.06
38.5233,-105.4811,0.005
38.5217,-105.4811,0.02
38.5214,-105.4744,0.025
38.5183,-105.4722,0.025
38.5183,-105.4664,0.01
38.52,-105.4667,0.005
38.5206,-105.4636,0.01
38.5222,-105.4614,0.035
38.5269,-105.4883,0.035
38.5272,-105.4892,0.04
38.5147,-105.5289,0.005
38.5164,-105.5283,0.01
38.5161,-105.5272,0.015
38.5219,-105.5189,0.0
38.5236,-105.5108,0.015
38.5433,-105.5061,0.015
38.5478,-105.5028,0.035
38.5486,-105.5056,0.005
38.5619,-105.5297,0.005
38.5611,-105.5283,0.055
38.5631,-105.5342,0.02
38.5622,-105.5406,0.0
38.5614,-105.5422,0.01
38.5642,-105.5431,0.0
38.5706,-105.5414,0.03
38.5756,-105.5453,0.015
38.5736,-105.5425,0.03
38.5783,-105.5481,0.005
38.5817,-105.5508,0.11
38.5808,-105.5525,0.0
38.5542,-105.5878,0.0
38.5531,-105.5878,0.005
38.5531,-105.5769,0.015
38.5556,-105.5811,0.0
38.5564,-105.58,0.0
38.5436,-105.5881,0.005
38.5408,-105.5917,0.0
38.545,-105.5761,0.005
38.5425,-105.5714,0.05
38.5433,-105.5711,0.01
38.5497,-105.5636,0.0
38.5644,-105.5742,0.025
38.5608,-105.5725,0.03
38.5617,-105.5694,0.01
38.5597,-105.5642,0.025
38.5589,-105.5622,0.005
38.5533,-105.5628,0.01
38.5386,-105.5553,0.02
38.5392,-105.5544,0.0
38.5414,-105.5583,0.02
38.5444,-105.5608,0.04
38.5478,-105.5592,0.01
38.5553,-105.5533,0.01
38.5567,-105.5547,0.005
38.5575,-105.5558,0.02
38.5489,-105.5439,0.05
38.5447,-105.5464,0.01
38.5428,-105.5419,0.005
38.5439,-105.5389,0.02
38.5386,-105.5328,0.05
38.5378,-105.5319,0.01
38.5456,-105.5289,0.035
38.5456,-105.5286,0.03
38.5428,-105.5272,0.02
38.5394,-105.5256,0.01
38.5383,-105.5219,0.0
38.5375,-105.5183,0.01
38.5372,-105.5161,0.005
38.5361,-105.5181,0.035
38.5372,-105.525,0.005
38.5428,-105.5292,0.005
38.5528,-105.5464,0.015
38.5528,-105.5453,0.01
38.5658,-105.5786,0.005
38.5675,-105.5828,0.08
38.5664,-105.5811,0.025
38.5722,-105.5864,0.015
38.5733,-105.5881,0.015
38.5739,-105.5897,0.03
38.5775,-105.5906,0.01
38.5758,-105.5911,0.015
38.5886,-105.5858,0.01
38.5894,-105.5811,0.005
38.5869,-105.5753,0.02
38.5881,-105.5706,0.02
38.5792,-105.5625,0.055
38.5792,-105.5633,0.015
38.5794,-105.5644,0.015
38.5803,-105.5642,0.035
38.5853,-105.5683,0.0
38.5958,-105.56,0.005
38.5939,-105.5581,0.01
38.5972,-105.5806,0.015
38.5967,-105.5797,0.02
38.5811,-105.4911,0.02
38.5819,-105.4892,0.03
38.5825,-105.4872,0.055
38.5828,-105.4892,0.03
38.5842,-105.4861,0.03
