report_id,name,creek_name,lon,lat,gold_class,location_precision,geom_confidence,source_type,source_cite,source_url,date_approx,hours_or_pans,public_land,notes
ID-ORO,Orogrande,Orogrande Creek,-115.5279,45.7249,unknown,creek,3,pamphlet,"USGS GNIS Orogrande; USFS Nez Perce-Clearwater recreational mining (French and Orogrande Creeks)",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Gazetteer at the named settlement. Not a recovery.
ID-CRO,Crooked River at Orogrande,Crooked River,-115.5300,45.7300,unknown,creek,2,pamphlet,"USFS Nez Perce-Clearwater French and Orogrande Creeks mining info; USGS GNIS Crooked River",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Hand panning generally allowed on NF land; confirm claims.
ID-FRE,French Creek,French Creek,-115.5600,45.7100,unknown,creek,2,pamphlet,"USFS Nez Perce-Clearwater French and Orogrande Creeks",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Paired with Orogrande in the USFS mining page.
ID-DIX,Dixie,Dixie Creek,-115.4637,45.5546,unknown,district,3,pamphlet,"USGS GNIS Dixie ID; historic Idaho Batholith placer camp",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,District. Mapped; not a catchment hit.
ID-WAR,Warren,Warren Creek,-115.6765,45.2638,unknown,district,3,pamphlet,"USGS GNIS Warren ID; historic Warren placer district",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,District. Mapped; not a catchment hit.
ID-WCK,Warren Creek,Warren Creek,-115.6700,45.2700,unknown,creek,2,pamphlet,"USGS GNIS Warren; creek through the Warren camp",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Creek-scale pin next to the Warren district point.
ID-FLO,Florence,Florence Creek,-116.0282,45.5013,unknown,district,3,pamphlet,"USGS GNIS Florence ID; 1861 Idaho gold rush camp",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1861,,unknown,District. Mapped; not a catchment hit.
ID-ELK,Elk City / SF Clearwater,South Fork Clearwater River,-115.4368,45.8268,unknown,reach,3,pamphlet,"USGS GNIS Elk City; USFS South Fork of the Clearwater River recreational mining",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,USFS names this river as a recreational mining water.
ID-RED,Red River,Red River,-115.3520,45.7160,unknown,creek,3,pamphlet,"USGS GNIS Red River ID; SF Clearwater tributary placer camp",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Historic camp on the Red River.
ID-NEW,Newsome Creek,Newsome Creek,-115.7960,45.8290,unknown,creek,3,pamphlet,"USGS GNIS Newsome; SF Clearwater tributary",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Historic Newsome placer.
ID-BUR,Burgdorf,Lake Creek,-115.9135,45.2771,unknown,district,3,pamphlet,"USGS GNIS Burgdorf; Payette NF historic springs / placer camp",https://www.fs.usda.gov/r04/payette,1860s,,unknown,District. Mapped; not a catchment hit.
ID-SEC,Secesh River,Secesh River,-115.8200,45.2000,unknown,creek,2,pamphlet,"USGS GNIS Secesh River; Warren-Burgdorf drainage",https://www.fs.usda.gov/r04/payette,1860s,,unknown,Creek-scale. Confirm NF vs claim.
ID-BUF,Buffalo Hump,Buffalo Hump,-115.7700,45.6180,unknown,district,2,pamphlet,"USGS GNIS Buffalo Hump; Gospel-Hump historic district",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1890s,,unknown,District. Mapped; not a catchment hit.
ID-GLD,Golden,Crooked River,-115.6740,45.8020,unknown,creek,3,pamphlet,"USGS GNIS Golden ID; Crooked River / Orogrande corridor",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Named settlement on the Crooked River.
ID-SFC,SF Clearwater above Elk City,South Fork Clearwater River,-115.4000,45.8000,unknown,reach,2,pamphlet,"USFS South Fork of the Clearwater River recreational mining",https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Reach upstream of Elk City. Hand tools; seasonal motorized rules differ.
