lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
38.85,-121.451,-2.0,28.0,11.0,274.0,1.6,,,3843.0,3.33,30.0,14.0,81.0,4.0,-15.0,14.0,,5189852
38.7656,-121.5417,10.0,39.0,18.0,547.0,3.0,,,3478.0,3.9,40.0,13.0,101.0,6.0,-15.0,14.0,,5189787
38.7805,-121.5168,-2.0,35.0,17.0,394.0,2.0,,,3065.0,2.23,36.0,11.0,54.0,6.0,-15.0,9.0,,5189788
38.79,-121.5419,8.0,47.0,21.0,674.0,2.4,,,3235.0,3.52,41.0,14.0,77.0,7.0,-15.0,13.0,,5189789
38.8085,-121.518,6.0,42.0,16.0,367.0,2.0,,,4406.0,4.23,35.0,14.0,114.0,7.0,-15.0,14.0,,5189790
38.8147,-121.5508,4.0,38.0,18.0,401.0,1.8,,,3618.0,3.96,41.0,15.0,89.0,7.0,-15.0,14.0,,5189791
38.8384,-121.542,-2.0,30.0,12.0,652.0,2.0,,,4399.0,4.29,35.0,17.0,112.0,5.0,-15.0,18.0,,5189792
38.8449,-121.5106,5.0,36.0,15.0,577.0,1.9,,,4154.0,4.5,34.0,17.0,107.0,6.0,-15.0,17.0,,5189793
38.8675,-121.5284,2.0,32.0,14.0,359.0,2.0,,,4295.0,4.93,33.0,17.0,112.0,6.0,-15.0,19.0,,5189794
38.8669,-121.5554,-2.0,21.0,10.0,332.0,1.8,,,4091.0,3.83,30.0,15.0,94.0,4.0,-15.0,17.0,,5189795
38.891,-121.5249,7.0,33.0,14.0,249.0,1.5,,,3644.0,3.61,37.0,13.0,86.0,7.0,-15.0,14.0,,5189796
38.9096,-121.513,3.0,33.0,15.0,252.0,1.9,,,4503.0,3.42,47.0,14.0,92.0,8.0,-15.0,14.0,,5189797
38.9391,-121.5241,4.0,25.0,13.0,454.0,2.3,,,3748.0,3.24,33.0,10.0,111.0,6.0,-15.0,11.0,,5189798
38.9604,-121.5061,7.0,41.0,15.0,372.0,1.9,,,4562.0,3.38,49.0,13.0,96.0,8.0,-15.0,13.0,,5189799
38.9959,-121.5408,3.0,27.0,11.0,187.0,1.1,,,4575.0,4.6,36.0,18.0,93.0,7.0,-15.0,18.0,,5189800
38.9921,-121.572,3.0,36.0,15.0,514.0,2.2,,,3784.0,4.29,43.0,15.0,103.0,5.0,-15.0,16.0,,5189801
38.9703,-121.5555,-2.0,44.0,22.0,733.0,3.0,,,4180.0,4.45,52.0,18.0,133.0,7.0,-15.0,19.0,,5189802
