lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
38.5547,-105.4972,11.6,84.0,43.0,,4.25,-0.1,,5988.0,1.929,,,39.0,28.0,10.8,10.0,-15.0,5076740
38.5561,-105.4958,17.0,142.0,62.0,,4.54,-0.16,,8220.0,3.556,,,51.0,35.0,14.1,20.1,-15.0,5076741
38.5631,-105.4878,15.3,114.0,59.0,,4.82,-0.11,,8130.0,2.963,,,35.0,-20.0,12.9,16.3,-15.0,5076742
38.6961,-105.8272,22.4,172.0,85.0,,5.8,-0.11,,9141.0,4.55,,,54.0,-20.0,34.6,13.3,-15.0,5075452
38.6756,-105.2369,39.0,256.0,121.0,,9.7,-0.08,,6880.0,3.267,,,66.0,-20.0,21.9,12.1,-15.0,5075473
38.6661,-105.225,29.5,271.0,159.0,,14.7,-0.15,,6082.0,3.615,,,45.0,-20.0,9.9,17.4,-15.0,5075474
38.6494,-105.2161,18.0,136.0,71.0,,4.7,-0.07,,4790.0,2.11,,,76.0,-20.0,11.5,11.4,-15.0,5075475
38.6281,-105.2175,11.4,88.0,52.0,,13.7,-0.09,,4182.0,1.839,,,44.0,-20.0,4.0,9.8,-15.0,5075476
38.6911,-105.2283,56.8,336.0,184.0,,13.4,-0.08,,6634.0,3.452,,,60.0,-20.0,20.0,12.1,-15.0,5075484
38.6928,-105.2303,63.6,379.0,179.0,,12.5,-0.09,,6578.0,3.199,,,57.0,-20.0,26.8,12.0,-15.0,5075485
38.6275,-105.2144,24.1,167.0,101.0,,8.0,-0.11,,4032.0,2.981,,,32.0,-20.0,13.0,9.8,-15.0,5075486
38.0647,-105.1044,12.8,123.0,55.0,,6.6,-0.1,,4420.0,2.624,,,54.0,-20.0,13.7,13.0,-15.0,5075489
38.065,-105.1061,13.2,120.0,63.0,,4.6,-0.11,,6444.0,3.109,,,55.0,-20.0,16.5,15.4,-15.0,5075490
38.06,-105.1361,13.4,162.0,78.0,,5.6,-0.09,,6902.0,3.778,,,48.0,-20.0,28.9,15.4,-15.0,5075491
38.1356,-105.1064,8.2,84.0,41.0,,5.7,-0.14,,5509.0,3.102,,,50.0,-20.0,4.9,11.8,-15.0,5075504
38.1153,-105.1436,10.4,95.0,39.0,,3.6,-0.1,,5937.0,3.262,,,75.0,-20.0,11.4,14.5,-15.0,5075506
38.1447,-105.1847,16.3,159.0,80.0,,4.0,-0.11,,5986.0,3.369,,,80.0,-20.0,13.5,14.3,-15.0,5075507
38.1606,-105.1908,17.1,129.0,66.0,,4.2,-0.13,,5042.0,3.392,,,67.0,-20.0,10.5,11.2,-15.0,5075508
38.1644,-105.1922,12.7,95.0,48.0,,4.7,-0.15,,4605.0,3.203,,,66.0,-20.0,12.3,12.4,-15.0,5075509
38.1617,-105.1922,14.2,102.0,54.0,,3.7,-0.11,,5439.0,4.469,,,76.0,-20.0,9.5,14.3,-15.0,5075510
38.1189,-105.2278,15.6,161.0,78.0,,5.9,-0.11,,7212.0,5.304,,,44.0,-20.0,42.2,17.1,-15.0,5075511
38.1511,-105.2231,10.2,93.0,34.0,,4.1,-0.12,,5267.0,2.551,,,59.0,-20.0,11.9,11.8,-15.0,5075512
38.1789,-105.2328,10.6,102.0,48.0,,3.4,-0.15,,-2270.0,3.983,,,68.0,-20.0,11.1,14.3,-15.0,5075513
38.1667,-105.2178,14.4,94.0,48.0,,2.9,-0.1,,5628.0,4.758,,,96.0,-20.0,11.6,13.5,-15.0,5075514
38.2017,-105.2436,14.2,109.0,53.0,,4.0,-0.11,,5148.0,3.51,,,104.0,-20.0,8.3,14.5,-15.0,5075515
38.1808,-105.1083,13.8,83.0,48.0,,4.8,-0.07,,5031.0,2.595,,,63.0,-20.0,10.2,11.8,-15.0,5075521
38.195,-105.47,14.0,154.0,77.0,,3.3,-0.07,,5070.0,4.481,,,205.0,-20.0,17.2,17.9,-15.0,5075534
38.1256,-105.4706,11.1,101.0,47.0,,3.7,-0.07,,4533.0,3.318,,,46.0,-20.0,10.9,9.1,-15.0,5075535
38.1444,-105.485,7.9,60.0,43.0,,5.5,-0.08,,3403.0,1.914,,,44.0,-20.0,7.3,9.1,-15.0,5075536
38.1917,-105.4917,13.1,89.0,52.0,,3.7,-0.07,,5233.0,3.165,,,92.0,-20.0,11.8,11.6,-15.0,5075537
38.2133,-105.4222,14.2,122.0,68.0,,4.1,-0.07,,7338.0,5.657,,,128.0,-20.0,18.6,17.7,-15.0,5075538
38.2164,-105.4111,16.7,153.0,66.0,,3.0,-0.08,,5592.0,4.706,,,133.0,,11.5,20.3,,5075539
38.1781,-105.4069,9.7,90.0,46.0,,3.2,-0.09,,4472.0,3.066,,,75.0,-20.0,10.0,13.6,-15.0,5075540
38.2297,-105.3472,12.3,103.0,58.0,,2.9,-0.07,,5662.0,3.481,,,122.0,-20.0,9.5,15.5,-15.0,5075541
38.2431,-105.3778,11.7,128.0,66.0,,2.9,-0.06,,4940.0,3.813,,,124.0,-20.0,11.4,16.2,-15.0,5075542
38.6619,-105.6375,16.4,137.0,63.0,,3.7,-0.08,,5964.0,3.097,,,40.0,-20.0,9.3,11.7,-15.0,5075543
38.2233,-105.2542,10.6,99.0,57.0,,3.1,-0.12,,4531.0,4.741,,,78.0,-20.0,10.4,16.3,-15.0,5075544
38.2275,-105.2644,13.1,109.0,58.0,,3.2,-0.07,,8244.0,4.439,,,141.0,-20.0,16.2,18.6,-15.0,5075545
38.1747,-105.3608,8.8,123.0,57.0,,2.8,-0.08,,6560.0,4.834,,,99.0,-20.0,12.7,23.3,15.0,5075546
38.1686,-105.3611,16.5,140.0,63.0,,3.3,-0.07,,4936.0,3.307,,,103.0,-20.0,12.1,14.5,-15.0,5075547
38.2089,-105.5567,8.6,112.0,56.0,,4.3,-0.1,,5769.0,3.632,,,60.0,-20.0,13.9,12.6,-15.0,5075548
38.1811,-105.5292,10.7,86.0,45.0,,3.8,-0.06,,5124.0,2.524,,,57.0,-20.0,11.5,10.2,-15.0,5075549
38.1683,-105.595,14.7,120.0,68.0,,6.3,-0.07,,9506.0,6.479,,,77.0,-20.0,26.1,14.0,-15.0,5075550
38.5614,-105.4894,15.4,118.0,55.0,,4.34,-0.1,,6949.0,2.77,,,38.0,30.0,11.1,15.9,-15.0,5076743
38.1547,-105.53,12.2,110.0,49.0,,4.3,-0.07,,4504.0,3.547,,,60.0,-20.0,16.3,9.5,-15.0,5075551
38.1311,-105.5117,16.3,126.0,62.0,,5.9,-0.1,,5837.0,3.904,,,72.0,-20.0,25.9,12.0,-15.0,5075552
38.1306,-105.5867,12.3,97.0,60.0,,5.0,-0.07,,5927.0,3.445,,,62.0,-20.0,15.9,10.9,-15.0,5075553
38.1053,-105.6022,8.2,80.0,42.0,,4.7,-0.07,,4392.0,1.622,,,68.0,-20.0,7.6,10.7,-15.0,5075554
38.1239,-105.5806,9.5,107.0,51.0,,4.9,-0.08,,4399.0,2.972,,,68.0,-20.0,12.2,10.2,-15.0,5075555
38.1122,-105.5522,14.1,90.0,47.0,,4.7,-0.08,,4442.0,2.435,,,49.0,-20.0,21.1,8.7,-15.0,5075556
38.0722,-105.5833,7.5,61.0,35.0,,3.7,-0.05,,4284.0,2.417,,,45.0,-20.0,10.8,8.4,-15.0,5075557
38.6586,-105.6236,11.6,105.0,59.0,,10.0,-0.07,,5272.0,2.601,,,36.0,-20.0,7.5,9.4,-15.0,5075558
38.1047,-105.5389,9.8,99.0,45.0,,5.3,-0.07,,4709.0,2.233,,,54.0,-20.0,15.6,9.1,-15.0,5075559
38.0961,-105.5397,11.1,101.0,50.0,,5.3,-0.09,,5434.0,3.241,,,54.0,-20.0,19.1,10.1,-15.0,5075560
38.0847,-105.5425,6.7,69.0,42.0,,5.4,-0.06,,5686.0,4.516,,,72.0,-20.0,19.2,10.0,-15.0,5075561
38.0875,-105.5389,10.0,82.0,45.0,,7.8,-0.07,,5775.0,5.793,,,79.0,-20.0,19.2,12.0,-15.0,5075562
38.0875,-105.5206,9.3,100.0,39.0,,5.4,-0.07,,5110.0,3.887,,,62.0,-20.0,17.3,9.9,-15.0,5075563
38.0578,-105.5081,8.7,86.0,52.0,,10.4,-0.11,,5111.0,3.85,,,64.0,-20.0,7.7,13.1,-15.0,5075564
38.0861,-105.4636,9.8,78.0,47.0,,3.7,-0.07,,4540.0,2.635,,,46.0,-20.0,11.2,11.1,-15.0,5075565
38.0711,-105.4444,8.9,87.0,44.0,,3.2,-0.06,,4269.0,2.33,,,34.0,-20.0,10.6,9.6,19.0,5075566
38.0689,-105.4503,7.3,94.0,41.0,,3.9,-0.07,,4110.0,2.732,,,46.0,-20.0,11.3,10.9,-15.0,5075567
38.0722,-105.3278,17.8,113.0,67.0,,4.4,-0.07,,6747.0,6.191,,,101.0,-20.0,21.6,12.8,22.0,5075570
