lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
46.0006,-114.1617,19.1,109.0,57.0,,3.7,-0.07,13.0,2764.0,2.472,248.0,,36.0,-20.0,12.1,8.4,-15.0,5033574
46.0114,-114.1169,21.5,147.0,77.0,,3.1,-0.09,-5.0,3331.0,2.173,242.0,,25.0,-20.0,12.8,6.1,21.0,5033575
46.0153,-114.105,38.5,222.0,125.0,,4.2,-0.07,6.0,3209.0,2.539,385.0,,25.0,-20.0,20.8,6.7,-15.0,5033576
46.0178,-114.0994,37.0,228.0,112.0,,4.9,-0.07,13.0,3579.0,3.006,460.0,,37.0,-20.0,23.1,7.4,-15.0,5033577
46.0172,-114.0969,19.1,122.0,69.0,,7.6,-0.08,-5.0,4193.0,3.113,258.0,,46.0,-20.0,12.9,9.4,-15.0,5033578
46.0133,-114.1056,9.0,69.0,32.0,,2.1,-0.08,6.0,2974.0,2.701,143.0,,-12.0,-20.0,7.0,7.9,-15.0,5033594
46.0064,-114.1119,15.8,99.0,54.0,,2.3,-0.08,5.0,3046.0,2.014,195.0,,21.0,-20.0,9.8,5.3,-15.0,5033595
46.0061,-114.1122,30.0,176.0,91.0,,5.9,-0.06,-5.0,2764.0,2.015,318.0,,28.0,-20.0,15.8,4.7,24.0,5033596
46.0042,-114.1144,205.0,1099.0,547.0,,28.1,-0.08,28.0,4892.0,2.764,597.0,,56.0,-20.0,27.3,8.8,24.0,5033597
46.0014,-114.1217,25.0,162.0,83.0,,4.2,-0.07,-5.0,2794.0,2.708,261.0,,31.0,-20.0,10.6,7.3,-15.0,5033598
46.0003,-114.0936,15.4,109.0,51.0,,6.7,-0.09,7.0,4427.0,2.946,203.0,,67.0,-20.0,9.7,10.8,-15.0,5033599
46.0361,-114.1567,31.1,155.0,80.0,,2.5,-0.07,14.0,1908.0,2.306,186.0,,30.0,-20.0,8.4,4.6,-15.0,5033600
46.0378,-114.1522,179.6,731.0,406.0,,9.2,-0.07,29.0,3596.0,3.355,821.0,,55.0,-20.0,38.8,7.0,25.0,5033601
46.0392,-114.1519,114.9,474.0,247.0,,8.6,-0.06,17.0,2617.0,1.881,523.0,,26.0,-20.0,26.2,4.6,-15.0,5033602
46.0433,-114.1658,83.4,364.0,206.0,,5.8,-0.06,11.0,2933.0,2.299,534.0,,45.0,-20.0,26.8,5.4,-15.0,5033603
46.0475,-114.1647,21.1,119.0,65.0,,9.6,-0.07,-5.0,3207.0,2.053,254.0,,26.0,30.0,13.4,5.7,-15.0,5033604
46.0517,-114.1628,20.0,96.0,59.0,,21.4,-0.1,9.0,3200.0,2.253,164.0,,45.0,37.0,6.6,7.5,-15.0,5033605
46.0578,-114.1031,27.9,182.0,96.0,,5.8,-0.1,10.0,5012.0,4.518,439.0,,57.0,22.0,22.1,15.8,-15.0,5033606
46.0586,-114.1031,23.3,138.0,71.0,,11.7,-0.07,16.0,3746.0,3.273,234.0,,74.0,23.0,10.5,10.6,-15.0,5033607
46.0556,-114.1153,16.4,100.0,42.0,,5.8,-0.09,9.0,2700.0,2.311,174.0,,37.0,23.0,7.6,7.2,-15.0,5033608
46.0531,-114.12,113.4,534.0,292.0,,7.9,-0.09,14.0,5465.0,5.345,1416.0,,60.0,-20.0,62.2,16.8,-15.0,5033609
46.0636,-114.1603,46.5,258.0,137.0,,13.9,-0.07,12.0,4363.0,2.854,593.0,,61.0,27.0,27.4,7.3,21.0,5033610
46.0694,-114.1397,30.4,204.0,107.0,,14.5,-0.08,12.0,4221.0,4.779,749.0,,41.0,-20.0,33.3,14.2,-15.0,5033611
45.8633,-114.1967,38.9,285.0,150.0,,20.1,-0.07,,3081.0,2.328,,,36.0,,33.4,7.0,,5035280
46.0728,-114.1589,22.1,198.0,110.0,,7.3,-0.09,-5.0,4874.0,3.472,750.0,,-16.0,33.0,32.3,9.5,-15.0,5033612
46.0608,-114.0172,44.3,418.0,243.0,,2.5,-0.08,8.0,3714.0,3.138,630.0,,36.0,-20.0,28.0,7.3,-15.0,5033613
46.0633,-114.0833,12.3,94.0,44.0,,2.5,-0.08,-5.0,4755.0,3.449,313.0,,27.0,23.0,13.6,9.8,-15.0,5033614
46.0617,-114.0792,15.5,115.0,72.0,,3.7,-0.08,8.0,4635.0,3.306,400.0,,37.0,-20.0,17.3,9.0,-15.0,5033615
46.0592,-114.0739,21.0,162.0,74.0,,2.6,-0.08,6.0,4261.0,2.964,634.0,,38.0,23.0,31.5,7.3,-15.0,5033616
46.0536,-114.0536,24.6,163.0,79.0,,2.6,-0.08,6.0,5723.0,3.622,392.0,,32.0,-20.0,18.6,9.8,-15.0,5033617
46.0506,-114.0511,43.4,299.0,161.0,,5.1,-0.1,12.0,5138.0,5.296,717.0,,53.0,-20.0,36.8,18.4,-15.0,5033618
46.0406,-114.0536,36.1,243.0,130.0,,3.4,-0.09,5.0,4820.0,3.965,681.0,,38.0,-20.0,30.6,11.4,18.0,5033619
46.03,-114.7417,25.4,140.0,78.0,,2.29,-0.06,-5.0,2153.0,1.463,177.0,,-10.0,-20.0,7.7,3.9,-15.0,5034152
46.0339,-114.7558,69.4,406.0,219.0,,8.92,-0.07,9.0,3543.0,2.433,257.0,,40.0,-20.0,13.2,6.6,-15.0,5034153
46.1339,-114.4925,31.3,181.0,101.0,,8.1,-0.07,-5.0,2170.0,1.37,102.0,,43.0,-20.0,5.2,4.0,-15.0,5033922
46.1328,-114.4914,33.0,191.0,95.0,,2.7,-0.05,-5.0,1809.0,0.8359,125.0,,30.0,-20.0,4.9,2.8,-15.0,5033923
46.1403,-114.4881,16.5,101.0,58.0,,6.6,-0.09,5.0,3634.0,2.49,118.0,,67.0,-20.0,4.2,7.7,18.0,5033924
46.1919,-114.1917,12.5,87.0,42.0,,2.9,-0.07,10.0,4336.0,2.359,184.0,,28.0,-20.0,7.9,9.6,-15.0,5033957
