lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
45.9292,-112.5656,,,,,14.6,,,,,,,,,,,,5039208
45.92,-112.5744,,,,,19.4,,,,,,,,,,,,5039209
45.9167,-112.5756,,,,,19.6,,,,,,,,,,,,5039210
45.9111,-112.5722,,,,,54.1,,,,,,,,,,,,5039211
45.9111,-112.5722,,,,,33.1,,,,,,,,,,,,5039212
45.9111,-112.5722,,,,,42.9,,,,,,,,,,,,5039213
45.9108,-112.52,,,,,6.8,,,,,,,,,,,,5039214
45.9108,-112.52,,,,,5.7,,,,,,,,,,,,5039215
45.9108,-112.52,,,,,5.9,,,,,,,,,,,,5039216
45.9108,-112.52,,,,,5.3,,,,,,,,,,,,5039217
45.8819,-112.5306,,,,,15.6,,,,,,,,,,,,5039218
45.8806,-112.5081,,,,,19.4,,,,,,,,,,,,5039219
45.8831,-112.5175,,,,,15.5,,,,,,,,,,,,5039220
46.015,-112.6056,,,,,2.5,,,,,,,,,,,,5039221
46.1792,-112.7083,,,,,8.0,,,,,,,,,,,,5039780
46.1944,-112.7375,,,,,6.2,,,,,,,,,,,,5039781
46.0539,-112.6022,,,,,3.7,,,,,,,,,,,,5039222
46.0694,-112.5964,,,,,3.7,,,,,,,,,,,,5039223
46.0694,-112.5964,,,,,1.7,,,,,,,,,,,,5039224
46.0694,-112.5964,,,,,3.0,,,,,,,,,,,,5039225
46.0761,-112.5722,,,,,4.7,,,,,,,,,,,,5039226
46.0761,-112.5722,,,,,2.4,,,,,,,,,,,,5039227
46.1944,-112.7375,,,,,6.5,,,,,,,,,,,,5039782
46.1944,-112.7375,,,,,7.5,,,,,,,,,,,,5039783
46.0761,-112.5722,,,,,3.6,,,,,,,,,,,,5039228
46.0806,-112.5975,,,,,4.3,,,,,,,,,,,,5039229
46.0917,-112.5839,,,,,3.9,,,,,,,,,,,,5039230
46.0917,-112.5839,,,,,2.1,,,,,,,,,,,,5039231
46.0917,-112.5839,,,,,2.7,,,,,,,,,,,,5039232
46.0917,-112.5839,,,,,3.9,,,,,,,,,,,,5039233
46.2375,-112.5656,,,,,19.9,,,,,,,,,,,,5039784
46.0914,-112.5889,,,,,2.0,,,,,,,,,,,,5039234
46.1033,-112.6194,,,,,3.9,,,,,,,,,,,,5039235
46.1033,-112.6194,,,,,1.8,,,,,,,,,,,,5039236
46.1033,-112.6194,,,,,2.4,,,,,,,,,,,,5039237
46.1278,-112.6042,,,,,60.0,,,,,,,,,,,,5039238
46.1278,-112.6042,,,,,5.7,,,,,,,,,,,,5039239
46.1278,-112.6042,,,,,2.8,,,,,,,,,,,,5039240
46.1278,-112.6042,,,,,4.2,,,,,,,,,,,,5039241
46.2375,-112.5656,,,,,15.7,,,,,,,,,,,,5039785
46.2375,-112.5656,,,,,17.4,,,,,,,,,,,,5039786
46.1342,-112.5925,,,,,4.0,,,,,,,,,,,,5039242
46.1406,-112.5667,,,,,4.4,,,,,,,,,,,,5039243
