lat,lon,Th,Ce,La,P,U,Au,As,Ti,Fe,Zr,Y,Cr,Nb,Hf,Sc,W,lab_id
36.0332,-77.7514,12.0,56.0,30.0,,5.4,-0.01,,6700.0,2.12,,,,,13.0,6.9,,5285479
36.0593,-77.6822,15.0,119.0,41.0,,5.5,-0.01,,6900.0,3.15,,,,,7.0,11.5,,5285480
36.0949,-77.6774,31.0,98.0,58.0,,7.0,-0.01,,8000.0,0.98,,,,,60.0,1.9,,5285481
36.1307,-77.6886,6.0,11.0,13.0,,1.8,-0.01,,4700.0,0.88,,,,,19.0,1.5,,5285482
36.0939,-77.6248,13.0,39.0,20.0,,2.3,-0.01,,4800.0,0.9,,,,,30.0,1.2,,5285483
36.0536,-77.5779,11.0,45.0,24.0,,2.3,-0.01,,7100.0,0.92,,,,,35.0,2.1,,5285484
36.0265,-77.6063,8.0,26.0,14.0,,2.2,-0.01,,6000.0,1.51,,,,,19.0,2.3,,5285485
36.0159,-77.5723,29.0,116.0,51.0,,5.4,-0.01,,15500.0,1.87,,,,,93.0,5.1,,5285486
36.0071,-77.5259,8.0,18.0,18.0,,2.7,-0.01,,8000.0,1.4,,,,,25.0,3.7,,5285487
36.0143,-77.4599,6.0,35.0,17.0,,2.4,-0.01,,5900.0,1.41,,,,,28.0,3.0,,5285488
36.0005,-77.6444,15.0,88.0,34.0,,4.1,-0.01,,8000.0,2.09,,,,,14.0,6.4,,5285489
36.0423,-77.4033,15.0,108.0,34.0,600.0,6.1,-0.01,1.0,25400.0,2.5,,-5.0,23.0,-5.0,110.0,5.6,-2.0,5285524
36.0503,-77.3855,6.0,-20.0,16.0,700.0,3.1,-0.01,1.0,7900.0,0.94,,-5.0,11.0,60.0,42.0,1.8,-2.0,5285525
36.1242,-77.3517,26.0,158.0,61.0,800.0,7.5,-0.01,,23800.0,2.5,,5.0,15.0,60.0,112.0,4.6,-2.0,5285526
36.1915,-77.3872,4.0,49.0,16.0,700.0,2.4,-0.01,1.0,,0.97,,-5.0,6.0,-5.0,28.0,2.4,-2.0,5285528
36.2184,-77.3938,8.0,70.0,34.0,900.0,3.1,-0.01,1.0,,5.39,,10.0,16.0,-5.0,5.0,10.5,-2.0,5285529
36.1956,-77.4567,4.0,,8.0,900.0,2.3,-0.01,,8000.0,0.58,,5.0,5.0,-5.0,35.0,2.0,-2.0,5285530
36.1521,-77.485,13.0,55.0,24.0,900.0,4.3,-0.01,,,0.82,,-5.0,7.0,-5.0,84.0,2.1,-2.0,5285531
36.0899,-77.4774,4.0,11.0,11.0,500.0,1.9,-0.01,4.0,18900.0,1.28,,-5.0,7.0,5.0,36.0,2.6,-2.0,5285532
36.1925,-77.6833,9.0,55.0,26.0,800.0,4.3,-0.01,2.0,,0.59,,5.0,9.0,10.0,50.0,2.7,-2.0,5285533
36.2098,-77.7275,55.0,167.0,76.0,700.0,25.9,-0.01,,54000.0,2.47,,-5.0,10.0,5.0,602.0,7.9,-2.0,5285534
36.2279,-77.807,80.0,165.0,,500.0,33.1,-0.01,,,6.53,,-5.0,20.0,5.0,829.0,14.0,-2.0,5285535
36.2517,-77.9226,5.0,20.0,11.0,700.0,3.3,-0.01,2.0,,2.02,,5.0,36.0,5.0,46.0,7.8,-2.0,5285536
36.2624,-77.9374,7.0,33.0,14.0,800.0,2.2,-0.01,,6200.0,3.25,,-5.0,30.0,-5.0,7.0,10.7,-2.0,5285537
36.2948,-77.9217,19.0,51.0,34.0,500.0,1.9,-0.01,,,-0.5,,-5.0,7.0,-5.0,10.0,1.6,-2.0,5285538
36.327,-77.8703,64.0,174.0,91.0,1000.0,33.6,-0.01,,11900.0,2.75,,10.0,7.0,-5.0,824.0,11.7,-2.0,5285539
36.3311,-77.8481,69.0,59.0,,800.0,18.4,0.016,,,1.44,,-5.0,8.0,5.0,290.0,4.9,-2.0,5285540
36.3694,-77.8349,46.0,39.0,25.0,700.0,16.0,-0.01,1.0,12900.0,2.32,,-5.0,13.0,15.0,297.0,3.9,-2.0,5285541
36.4209,-77.8314,100.0,285.0,154.0,500.0,17.1,-0.01,,,0.97,,15.0,7.0,60.0,111.0,4.0,2.0,5285542
36.4387,-77.839,147.0,578.0,298.0,1100.0,25.8,-0.01,,13200.0,2.12,,495.0,5.0,75.0,49.0,7.9,-2.0,5285543
36.4436,-77.7897,92.0,307.0,160.0,700.0,23.2,-0.01,,37100.0,2.95,,5.0,23.0,20.0,299.0,7.3,-2.0,5285544
