block_id,lon_min,lon_max,lat_min,lat_max,n_nure,n_positive_labels,mean_p,max_p,loco_auc,nearest_gold_deg,nearest_gold_km,spatial_flag,campaign_class,pour_lon,pour_lat,pour_snap_lon,pour_snap_lat,pour_elev_m,n_nure_spots,n_field_spots,catchment_ok,catchment_area_deg2,notes,walk_rank,n_pan_locations,n_hobby_hit
-1939909,-77.6,-77.19999999999999,36.4,36.8,12,0,0.4166,0.6438,,0.4577,50.8,far_from_known_gold,expedition,-77.3732,36.4037,-77.373194,36.404861,29.9,2,2,True,0.0038,,1.0,2,0
-1939910,-77.6,-77.19999999999999,36.0,36.4,32,0,0.3944,0.7114,,0.418,46.4,far_from_known_gold,expedition,-77.3672,36.2274,-77.377639,36.23375,11.4,4,4,True,0.0398,,2.0,2,0
-1949911,-78.0,-77.6,35.6,36.0,91,2,0.3673,0.6247,0.8146,0.3513,39.0,far_from_known_gold,expedition,-77.703,35.8143,-77.702361,35.813472,20.7,4,4,True,0.0151,,3.0,2,0
-1949909,-78.0,-77.6,36.4,36.8,19,0,0.4148,0.6968,,0.3167,35.2,far_from_known_gold,expedition,-77.6346,36.4819,-77.634583,36.479306,19.0,4,4,True,0.0015,,4.0,2,0
-1949910,-78.0,-77.6,36.0,36.4,98,73,0.4121,0.6565,0.5551,0.1798,20.0,far_from_known_gold,expedition,-77.6148,36.1431,-77.61375,36.14625,28.6,4,4,False,0.1208,catchment_too_large_used_cell_spots,5.0,0,0
-1939912,-77.6,-77.19999999999999,35.2,35.6,8,0,0.335,0.425,,0.7417,82.3,far_from_known_gold,watch,-77.3785,35.5535,-77.36375,35.543472,17.9,1,1,True,0.0014,,6.0,2,0
-1959912,-78.4,-78.0,35.2,35.6,20,0,0.3811,0.5546,,0.5705,63.3,far_from_known_gold,watch,-78.0217,35.5592,-78.031528,35.564306,44.3,2,2,True,0.0021,,7.0,2,0
-1949912,-78.0,-77.6,35.2,35.6,20,0,0.3541,0.4996,,0.5506,61.1,far_from_known_gold,watch,-77.8445,35.5913,-77.842917,35.594306,19.0,4,4,True,0.0339,,8.0,2,0
-1939911,-77.6,-77.19999999999999,35.6,36.0,38,0,0.3362,0.44,,0.5461,60.6,far_from_known_gold,watch,-77.4813,35.7217,-77.498194,35.714306,8.8,4,4,False,0.3913,catchment_too_large_used_cell_spots,9.0,0,0
-1959911,-78.4,-78.0,35.6,36.0,74,0,0.3817,0.5614,,0.4876,54.1,far_from_known_gold,watch,-78.0283,35.6425,-78.027083,35.642361,33.5,2,2,True,0.0024,,10.0,2,0
-1959909,-78.4,-78.0,36.4,36.8,30,0,0.3312,0.4034,,0.368,40.8,far_from_known_gold,watch,-78.2434,36.4897,-78.245139,36.495972,82.0,1,1,True,0.0013,,11.0,2,0
-1959910,-78.4,-78.0,36.0,36.4,146,82,0.3332,0.4848,0.6402,0.0297,3.3,near_known_gold,watch,-78.014,36.2297,-78.023472,36.230139,52.6,4,4,True,0.0259,,12.0,2,0
