walk_rank,block_id,campaign_class,spot_order,role,lon,lat,p_anomalous,elev_m
1.0,-1939909,expedition,1,high_p_sample,-77.3732,36.4037,0.5938,29.9
1.0,-1939909,expedition,2,high_p_sample,-77.4016,36.392,0.4314,26.7
2.0,-1939910,expedition,1,high_p_sample,-77.4995,36.4066,0.5701,42.8
2.0,-1939910,expedition,2,high_p_sample,-77.4485,36.384,0.5496,37.0
2.0,-1939910,expedition,3,high_p_sample,-77.3501,36.2429,0.56,14.4
2.0,-1939910,expedition,4,high_p_sample,-77.3672,36.2274,0.4678,11.4
3.0,-1949911,expedition,1,high_p_sample,-77.8753,35.7794,0.5696,43.8
3.0,-1949911,expedition,2,high_p_sample,-77.8602,35.7597,0.5401,38.4
3.0,-1949911,expedition,3,high_p_sample,-77.8361,35.8386,0.6247,37.0
3.0,-1949911,expedition,4,high_p_sample,-77.703,35.8143,0.37,20.7
4.0,-1949909,expedition,1,high_p_sample,-77.7022,36.458,0.5083,57.0
4.0,-1949909,expedition,2,high_p_sample,-77.6541,36.4323,0.5,49.7
4.0,-1949909,expedition,3,high_p_sample,-77.6199,36.4106,0.6968,45.1
4.0,-1949909,expedition,4,high_p_sample,-77.6346,36.4819,0.4714,19.0
5.0,-1949910,expedition,1,high_p_sample,-77.6793,36.3471,0.6102,66.1
5.0,-1949910,expedition,2,high_p_sample,-77.6578,36.3635,0.6565,45.5
5.0,-1949910,expedition,3,high_p_sample,-77.6148,36.2073,0.5918,38.9
5.0,-1949910,expedition,4,high_p_sample,-77.6148,36.1431,0.4696,28.6
6.0,-1939912,watch,1,high_p_sample,-77.3785,35.5535,0.395,17.9
7.0,-1959912,watch,1,high_p_sample,-78.0609,35.5494,0.4578,54.4
7.0,-1959912,watch,2,high_p_sample,-78.0217,35.5592,0.3878,44.3
8.0,-1949912,watch,1,high_p_sample,-78.0609,35.5494,0.4578,54.4
8.0,-1949912,watch,2,high_p_sample,-77.9761,35.5838,0.4996,34.7
8.0,-1949912,watch,3,high_p_sample,-78.0283,35.6425,0.4601,33.5
8.0,-1949912,watch,4,high_p_sample,-77.8445,35.5913,0.3557,19.0
9.0,-1939911,watch,1,high_p_sample,-77.422,35.6216,0.44,42.4
9.0,-1939911,watch,2,high_p_sample,-77.4749,35.9484,0.44,33.6
9.0,-1939911,watch,3,high_p_sample,-77.5526,35.7617,0.435,25.0
9.0,-1939911,watch,4,high_p_sample,-77.4813,35.7217,0.402,8.8
10.0,-1959911,watch,1,high_p_sample,-78.0612,35.6559,0.4064,57.8
10.0,-1959911,watch,2,high_p_sample,-78.0283,35.6425,0.4601,33.5
11.0,-1959909,watch,1,high_p_sample,-78.2434,36.4897,0.4,82.0
12.0,-1959910,watch,1,high_p_sample,-78.147,36.3963,0.4262,104.7
12.0,-1959910,watch,2,high_p_sample,-78.1661,36.3961,0.4723,103.7
12.0,-1959910,watch,3,high_p_sample,-78.2008,36.3934,0.4314,99.5
12.0,-1959910,watch,4,high_p_sample,-78.014,36.2297,0.4383,52.6
