walk_rank,block_id,campaign_class,pan_order,role,lon,lat,elev_m,trap_score,why,slope,omega
7.0,-1959912,watch,1,pan,-78.061806,35.5541,41.8,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.00262,0.0
7.0,-1959912,watch,2,pan,-78.044468,35.552755,36.8,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00254,0.0
10.0,-1959911,watch,1,pan,-78.070767,35.64125,54.3,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00741,0.0
10.0,-1959911,watch,2,pan,-78.032639,35.63971,40.7,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.0,0.0
12.0,-1959910,watch,1,pan,-78.193393,36.390495,92.4,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.00183,0.0
12.0,-1959910,watch,2,pan,-78.203171,36.397616,92.9,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.01892,1047.9
11.0,-1959909,watch,1,pan,-78.220266,36.448194,120.2,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00292,4.2
11.0,-1959909,watch,2,pan,-78.240111,36.473722,91.7,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.01097,119.4
8.0,-1949912,watch,1,pan,-78.070767,35.64125,54.3,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00741,0.0
8.0,-1949912,watch,2,pan,-77.911919,35.556136,26.1,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00239,0.0
3.0,-1949911,expedition,1,pan,-77.837161,35.837083,34.2,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.0012,21.7
3.0,-1949911,expedition,2,pan,-77.862276,35.759668,38.2,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,6e-05,0.0
4.0,-1949909,expedition,1,pan,-77.625046,36.487824,38.2,6.0,slope_break;knickpoint_foot;power_drop,0.00258,26.7
4.0,-1949909,expedition,2,pan,-77.596769,36.491491,47.7,6.0,slope_break;knickpoint_foot;power_drop,0.00495,5.8
6.0,-1939912,watch,1,pan,-77.362985,35.564374,18.8,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00459,27.8
6.0,-1939912,watch,2,pan,-77.375529,35.556362,20.5,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00232,6.5
2.0,-1939910,expedition,1,pan,-77.502903,36.411514,28.7,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.00259,162.7
2.0,-1939910,expedition,2,pan,-77.497029,36.410363,22.5,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.00256,204.1
1.0,-1939909,expedition,1,pan,-77.395433,36.390956,23.9,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.00066,0.0
1.0,-1939909,expedition,2,pan,-77.418528,36.416862,31.5,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00372,3.7
