block_id,lon_min,lon_max,lat_min,lat_max,n_nure,n_positive_labels,mean_p,max_p,loco_auc,nearest_gold_deg,nearest_gold_km,spatial_flag,campaign_class,pour_lon,pour_lat,pour_snap_lon,pour_snap_lat,pour_elev_m,n_nure_spots,n_field_spots,catchment_ok,catchment_area_deg2,notes,walk_rank,n_pan_locations,n_hobby_hit
-2859886,-114.39999999999998,-113.99999999999996,45.6,46.0,92,22,0.2383,0.87,0.4679,0.1017,11.3,near_known_gold,expedition,-114.1769,45.9864,-114.16875,45.995417,1227.4,4,4,False,0.215,catchment_too_large_used_cell_spots,1.0,0,0
-2899886,-116.0,-115.6,45.6,46.0,185,64,0.3415,0.975,0.742,0.0772,8.6,near_known_gold,expedition,-115.9606,45.99,-115.964306,45.98875,512.9,4,4,False,0.2626,catchment_too_large_used_cell_spots,2.0,0,0
-2909888,-116.4,-116.0,44.8,45.2,25,3,0.1498,0.785,0.6364,0.0574,6.4,near_known_gold,expedition,-116.1891,44.9902,-116.187917,44.989306,1458.1,4,4,True,0.0078,,3.0,2,0
-2859888,-114.39999999999998,-113.99999999999996,44.8,45.2,132,27,0.2451,0.935,0.6078,0.0514,5.7,near_known_gold,expedition,-114.3122,45.1758,-114.312083,45.175417,1317.7,4,4,False,0.1051,catchment_too_large_used_cell_spots,4.0,0,0
-2869887,-114.79999999999998,-114.39999999999998,45.2,45.6,143,40,0.2909,0.9,0.641,0.0512,5.7,near_known_gold,expedition,-114.7831,45.3911,-114.783194,45.390972,865.9,4,4,False,0.7136,catchment_too_large_used_cell_spots,5.0,0,0
-2889888,-115.6,-115.2,44.8,45.2,135,59,0.415,0.92,0.6,0.0404,4.5,near_known_gold,confirm,-115.5719,45.1878,-115.571806,45.187917,948.4,4,4,True,0.0051,,6.0,2,0
-2879889,-115.2,-114.79999999999998,44.400000000000006,44.8,1,1,0.78,0.78,,0.0284,3.2,near_known_gold,confirm,-114.8362,44.8,-114.836528,44.800139,1230.2,2,2,True,0.003,,7.0,2,0
-2899887,-116.0,-115.6,45.2,45.6,129,78,0.5121,0.95,0.4358,0.0282,3.1,near_known_gold,confirm,-115.8064,45.4689,-115.806528,45.467917,634.5,4,4,False,1.3965,catchment_too_large_used_cell_spots,8.0,0,0
-2899888,-116.0,-115.6,44.8,45.2,141,16,0.1583,0.89,0.6155,0.0246,2.7,near_known_gold,confirm,-115.6269,45.0878,-115.627083,45.087917,1028.6,4,4,False,0.2245,catchment_too_large_used_cell_spots,9.0,0,0
-2879887,-115.2,-114.79999999999998,45.2,45.6,98,47,0.4119,0.91,0.65,0.0227,2.5,near_known_gold,confirm,-115.1719,45.5614,-115.171806,45.56125,762.0,4,4,False,0.8862,catchment_too_large_used_cell_spots,10.0,0,0
-2859887,-114.39999999999998,-113.99999999999996,45.2,45.6,200,92,0.4282,0.915,0.5329,0.0198,2.2,near_known_gold,confirm,-114.3886,45.3211,-114.388472,45.320417,1014.0,4,4,True,0.0798,,11.0,2,0
-2869886,-114.79999999999998,-114.39999999999998,45.6,46.0,164,3,0.0815,0.84,0.7867,0.0187,2.1,near_known_gold,confirm,-114.7642,45.8878,-114.764306,45.888194,925.8,1,1,True,0.0037,,12.0,2,0
-2869889,-114.79999999999998,-114.39999999999998,44.400000000000006,44.8,1,1,0.72,0.72,,0.0158,1.8,near_known_gold,confirm,-114.67,44.8,-114.654306,44.840694,2727.1,2,2,True,0.0013,,13.0,2,0
