report_id,name,creek_name,lon,lat,gold_class,location_precision,geom_confidence,source_type,source_cite,source_url,date_approx,hours_or_pans,public_land,notes,block_id,campaign_class,walk_rank,catchment_hit,nearest_pan_pin_m,pin_scored
ID-ORO,Orogrande,Orogrande Creek,-115.5279,45.7249,unknown,creek,3,pamphlet,USGS GNIS Orogrande; USFS Nez Perce-Clearwater recreational mining (French and Orogrande Creeks),https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Gazetteer at the named settlement. Not a recovery.,-2899886.0,expedition,1.0,True,,False
ID-CRO,Crooked River at Orogrande,Crooked River,-115.53,45.73,unknown,creek,2,pamphlet,USFS Nez Perce-Clearwater French and Orogrande Creeks mining info; USGS GNIS Crooked River,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Hand panning generally allowed on NF land; confirm claims.,-2899886.0,expedition,1.0,True,,False
ID-FRE,French Creek,French Creek,-115.56,45.71,unknown,creek,2,pamphlet,USFS Nez Perce-Clearwater French and Orogrande Creeks,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Paired with Orogrande in the USFS mining page.,-2899886.0,expedition,1.0,True,,False
ID-DIX,Dixie,Dixie Creek,-115.4637,45.5546,unknown,district,3,pamphlet,USGS GNIS Dixie ID; historic Idaho Batholith placer camp,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,District. Mapped; not a catchment hit.,-2899887.0,watch,19.0,False,,False
ID-WAR,Warren,Warren Creek,-115.6765,45.2638,unknown,district,3,pamphlet,USGS GNIS Warren ID; historic Warren placer district,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,District. Mapped; not a catchment hit.,-2899887.0,watch,19.0,False,,False
ID-WCK,Warren Creek,Warren Creek,-115.67,45.27,unknown,creek,2,pamphlet,USGS GNIS Warren; creek through the Warren camp,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Creek-scale pin next to the Warren district point.,-2899887.0,watch,19.0,True,,False
ID-FLO,Florence,Florence Creek,-116.0282,45.5013,unknown,district,3,pamphlet,USGS GNIS Florence ID; 1861 Idaho gold rush camp,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1861,,unknown,District. Mapped; not a catchment hit.,,,,False,,False
ID-ELK,Elk City / SF Clearwater,South Fork Clearwater River,-115.4368,45.8268,unknown,reach,3,pamphlet,USGS GNIS Elk City; USFS South Fork of the Clearwater River recreational mining,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,USFS names this river as a recreational mining water.,-2899886.0,expedition,1.0,True,,False
ID-RED,Red River,Red River,-115.352,45.716,unknown,creek,3,pamphlet,USGS GNIS Red River ID; SF Clearwater tributary placer camp,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Historic camp on the Red River.,-2899886.0,expedition,1.0,True,,False
ID-NEW,Newsome Creek,Newsome Creek,-115.796,45.829,unknown,creek,3,pamphlet,USGS GNIS Newsome; SF Clearwater tributary,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Historic Newsome placer.,-2899886.0,expedition,1.0,True,,False
ID-BUR,Burgdorf,Lake Creek,-115.9135,45.2771,unknown,district,3,pamphlet,USGS GNIS Burgdorf; Payette NF historic springs / placer camp,https://www.fs.usda.gov/r04/payette,1860s,,unknown,District. Mapped; not a catchment hit.,-2899888.0,confirm,4.0,False,,False
ID-SEC,Secesh River,Secesh River,-115.82,45.2,unknown,creek,2,pamphlet,USGS GNIS Secesh River; Warren-Burgdorf drainage,https://www.fs.usda.gov/r04/payette,1860s,,unknown,Creek-scale. Confirm NF vs claim.,-2899888.0,confirm,4.0,True,,False
ID-BUF,Buffalo Hump,Buffalo Hump,-115.77,45.618,unknown,district,2,pamphlet,USGS GNIS Buffalo Hump; Gospel-Hump historic district,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1890s,,unknown,District. Mapped; not a catchment hit.,-2899886.0,expedition,1.0,False,,False
ID-GLD,Golden,Crooked River,-115.674,45.802,unknown,creek,3,pamphlet,USGS GNIS Golden ID; Crooked River / Orogrande corridor,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology,1860s,,unknown,Named settlement on the Crooked River.,-2899886.0,expedition,1.0,True,,False
ID-SFC,SF Clearwater above Elk City,South Fork Clearwater River,-115.4,45.8,unknown,reach,2,pamphlet,USFS South Fork of the Clearwater River recreational mining,https://www.fs.usda.gov/r01/nezperce-clearwater/natural-resources/geology/suction-dredging,2024,,unknown,Reach upstream of Elk City. Hand tools; seasonal motorized rules differ.,-2899886.0,expedition,1.0,True,,False
