walk_rank,block_id,campaign_class,spot_order,role,lon,lat,p_anomalous,elev_m
1.0,-2899886,expedition,1,high_p_sample,-115.9764,45.7231,0.515,1454.7
1.0,-2899886,expedition,2,high_p_sample,-115.7833,45.9678,0.6,1324.7
1.0,-2899886,expedition,3,high_p_sample,-115.6731,45.95,0.52,1300.4
1.0,-2899886,expedition,4,high_p_sample,-115.9667,45.9914,0.445,473.7
2.0,-2889888,expedition,1,high_p_sample,-115.5086,45.1347,0.431,1652.4
2.0,-2889888,expedition,2,high_p_sample,-115.5031,45.1528,0.435,1600.7
2.0,-2889888,expedition,3,high_p_sample,-115.5033,45.1486,0.43,1566.1
2.0,-2889888,expedition,4,high_p_sample,-115.5678,45.1508,0.445,1078.9
3.0,-2879887,confirm,1,high_p_sample,-115.0153,45.3206,0.675,1727.0
3.0,-2879887,confirm,2,high_p_sample,-115.1553,45.3492,0.49,1704.7
3.0,-2879887,confirm,3,high_p_sample,-115.0683,45.5186,0.53,827.1
3.0,-2879887,confirm,4,high_p_sample,-115.1719,45.5614,0.365,762.0
4.0,-2899888,confirm,1,high_p_sample,-115.9027,44.8189,0.7091,2121.5
4.0,-2899888,confirm,2,high_p_sample,-115.7958,44.8428,0.731,1813.4
4.0,-2899888,confirm,3,high_p_sample,-115.9408,44.9412,0.6964,1690.7
4.0,-2899888,confirm,4,high_p_sample,-115.6425,45.0769,0.4396,1052.2
5.0,-2859887,confirm,1,high_p_sample,-114.0403,45.3047,0.51,2024.4
5.0,-2859887,confirm,2,high_p_sample,-114.0856,45.4172,0.515,1546.5
5.0,-2859887,confirm,3,high_p_sample,-114.1431,45.4875,0.515,1405.4
5.0,-2859887,confirm,4,high_p_sample,-114.3361,45.3417,0.385,1001.4
6.0,-2879888,confirm,1,high_p_sample,-115.0605,44.8318,0.5564,2373.2
6.0,-2879888,confirm,2,high_p_sample,-115.1,44.9798,0.57,2345.6
6.0,-2879888,confirm,3,high_p_sample,-114.9435,44.8725,0.6555,2302.6
6.0,-2879888,confirm,4,high_p_sample,-114.8275,45.1011,0.525,1172.9
7.0,-2879885,watch,1,high_p_sample,-115.0908,46.1403,0.44,890.3
7.0,-2879885,watch,2,high_p_sample,-114.9147,46.1383,0.465,679.0
7.0,-2879885,watch,3,high_p_sample,-115.1697,46.0786,0.425,617.7
7.0,-2879885,watch,4,high_p_sample,-115.1197,46.0892,0.42,575.1
8.0,-2869885,watch,1,high_p_sample,-114.5017,46.1694,0.45,1920.7
8.0,-2869885,watch,2,high_p_sample,-114.4975,46.2,0.43,1593.6
8.0,-2869885,watch,3,high_p_sample,-114.7589,46.1972,0.37,900.7
9.0,-2859885,watch,1,high_p_sample,-114.0772,46.1044,0.525,1557.8
9.0,-2859885,watch,2,high_p_sample,-114.0864,46.1047,0.515,1458.3
9.0,-2859885,watch,3,high_p_sample,-114.1003,46.1036,0.51,1386.9
9.0,-2859885,watch,4,high_p_sample,-114.1514,46.1647,0.455,1137.3
10.0,-2889885,watch,1,high_p_sample,-115.5117,46.025,0.545,719.4
10.0,-2889885,watch,2,high_p_sample,-115.4431,46.0844,0.485,575.0
10.0,-2889885,watch,3,high_p_sample,-115.5547,46.1031,0.515,500.3
10.0,-2889885,watch,4,high_p_sample,-115.5758,46.1669,0.41,452.0
11.0,-2899885,watch,1,high_p_sample,-115.9411,46.1425,0.495,385.4
12.0,-2879886,watch,1,high_p_sample,-114.8097,45.6653,0.505,2330.6
12.0,-2879886,watch,2,high_p_sample,-114.8922,45.6314,0.49,2267.0
12.0,-2879886,watch,3,high_p_sample,-114.8297,45.7044,0.515,2024.2
12.0,-2879886,watch,4,high_p_sample,-114.8369,45.9786,0.385,830.5
13.0,-2889886,watch,1,high_p_sample,-115.1372,45.7744,0.465,1704.0
13.0,-2889886,watch,2,high_p_sample,-115.2414,45.9003,0.4786,974.3
13.0,-2889886,watch,3,high_p_sample,-115.2175,45.8814,0.465,964.6
13.0,-2889886,watch,4,high_p_sample,-115.245,45.9119,0.385,886.0
14.0,-2859886,watch,1,high_p_sample,-114.2728,45.7114,0.5,1546.9
14.0,-2859886,watch,2,high_p_sample,-114.3678,45.6961,0.495,1526.9
14.0,-2859886,watch,3,high_p_sample,-114.325,45.7078,0.489,1488.8
14.0,-2859886,watch,4,high_p_sample,-114.1672,45.9998,0.41,1191.7
15.0,-2909888,watch,1,high_p_sample,-116.0752,44.9813,0.4056,1539.4
15.0,-2909888,watch,2,high_p_sample,-116.1891,44.9902,0.395,1458.1
16.0,-2859888,watch,1,high_p_sample,-114.1231,45.1392,0.53,2152.6
16.0,-2859888,watch,2,high_p_sample,-114.3544,44.9623,0.5464,1832.1
16.0,-2859888,watch,3,high_p_sample,-114.339,44.9906,0.5314,1783.8
16.0,-2859888,watch,4,high_p_sample,-114.3144,45.1756,0.416,1323.0
17.0,-2869886,watch,1,high_p_sample,-114.4414,45.8853,0.57,1647.4
17.0,-2869886,watch,2,high_p_sample,-114.5092,45.9664,0.51,1402.7
17.0,-2869886,watch,3,high_p_sample,-114.7397,45.9133,0.535,1099.3
17.0,-2869886,watch,4,high_p_sample,-114.7883,45.9044,0.405,909.0
18.0,-2879889,watch,1,high_p_sample,-114.8362,44.8,0.4564,1230.2
19.0,-2899887,watch,1,high_p_sample,-115.8225,45.2633,0.56,1791.1
19.0,-2899887,watch,2,high_p_sample,-115.6114,45.4931,0.59,1207.2
19.0,-2899887,watch,3,high_p_sample,-115.6211,45.4033,0.505,637.5
19.0,-2899887,watch,4,high_p_sample,-115.8064,45.4689,0.385,634.5
