walk_rank,block_id,campaign_class,pan_order,role,lon,lat,elev_m,trap_score,why,slope,omega
3.0,-2909888,expedition,1,pan,-116.154618,45.054306,1872.4,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.01403,2.8
3.0,-2909888,expedition,2,pan,-116.176632,45.109028,2062.0,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.06999,4.1
6.0,-2889888,confirm,1,pan,-115.576446,45.188554,994.9,6.0,slope_break;knickpoint_foot;power_drop,0.00106,0.0
6.0,-2889888,confirm,2,pan,-115.624158,45.202231,1504.1,6.0,slope_break;knickpoint_foot;power_drop,0.06841,12.7
7.0,-2879889,confirm,1,pan,-114.872102,44.804602,1485.8,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.06067,721.2
7.0,-2879889,confirm,2,pan,-114.838214,44.797897,1238.7,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.02008,0.0
13.0,-2869889,confirm,1,pan,-114.664861,44.827614,2261.6,5.5,slope_break;knickpoint_foot;near_hot_nure,0.04776,475.6
13.0,-2869889,confirm,2,pan,-114.672036,44.817686,2360.2,4.0,slope_break;power_drop,0.03913,11.1
12.0,-2869886,confirm,1,pan,-114.760932,45.890734,939.3,5.5,slope_break;knickpoint_foot;near_hot_nure,0.0594,0.4
12.0,-2869886,confirm,2,pan,-114.733604,45.938194,1261.8,4.0,slope_break;knickpoint_foot,0.01499,207.7
11.0,-2859887,confirm,1,pan,-114.037717,45.31875,1986.3,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.02331,0.1
11.0,-2859887,confirm,2,pan,-114.086865,45.334642,2081.1,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.03242,264.2
