lat,lon,p_anomalous
46.0006,-114.1617,0.085
46.0114,-114.1169,0.015
46.0153,-114.105,0.035
46.0178,-114.0994,0.085
46.0172,-114.0969,0.095
46.0133,-114.1056,0.045
46.0064,-114.1119,0.015
46.0061,-114.1122,0.045
46.0042,-114.1144,0.19
46.0014,-114.1217,0.035
46.0003,-114.0936,0.16
46.0361,-114.1567,0.165
46.0378,-114.1522,0.135
46.0392,-114.1519,0.095
46.0433,-114.1658,0.065
46.0475,-114.1647,0.02
46.0517,-114.1628,0.1
46.0578,-114.1031,0.105
46.0586,-114.1031,0.15
46.0556,-114.1153,0.08
46.0531,-114.12,0.075
46.0636,-114.1603,0.085
46.0694,-114.1397,0.09
45.8633,-114.1967,0.685
46.0728,-114.1589,0.055
46.0608,-114.0172,0.045
46.0633,-114.0833,0.03
46.0617,-114.0792,0.035
46.0592,-114.0739,0.06
46.0536,-114.0536,0.01
46.0506,-114.0511,0.055
46.0406,-114.0536,0.02
46.03,-114.7417,0.035
46.0339,-114.7558,0.025
46.1339,-114.4925,0.07
46.1328,-114.4914,0.085
46.1403,-114.4881,0.08
46.1919,-114.1917,0.035
46.1986,-114.1922,0.04
46.1597,-114.1983,0.21
46.1664,-114.2039,0.07
46.1672,-114.2042,0.1
46.1844,-114.1819,0.01
46.1839,-114.1836,0.145
46.1683,-114.1889,0.025
46.1508,-114.2042,0.16
46.1492,-114.205,0.17
46.1272,-114.2144,0.08
46.1258,-114.2139,0.06
46.1308,-114.2111,0.055
46.14,-114.2164,0.07
46.1444,-114.2164,0.015
46.1225,-114.2308,0.005
46.1203,-114.2361,0.015
46.1186,-114.2394,0.055
46.11,-114.2406,0.01
46.1058,-114.2014,0.035
46.0778,-114.2261,0.025
46.0853,-114.2206,0.015
46.0956,-114.2156,0.005
46.0933,-114.2158,0.035
46.0914,-114.2161,0.01
46.0892,-114.2178,0.01
46.0814,-114.2317,0.195
46.055,-114.1944,0.025
46.0544,-114.1939,0.025
46.0564,-114.1911,0.03
46.0317,-114.1894,0.05
46.0364,-114.1939,0.18
46.0331,-114.1992,0.0
46.0353,-114.2125,0.03
46.0322,-114.2183,0.07
46.0186,-114.2089,0.005
46.0219,-114.2097,0.02
46.0239,-114.2111,0.07
46.0253,-114.2122,0.025
46.0264,-114.2131,0.015
46.0342,-114.2417,0.0
46.0331,-114.2406,0.055
46.0331,-114.2375,0.055
46.0328,-114.235,0.02
46.0342,-114.2292,0.01
46.0214,-114.1869,0.02
46.0175,-114.1967,0.02
46.0142,-114.2544,0.005
46.1053,-114.2775,0.04
46.1206,-114.3053,0.015
46.1244,-114.35,0.02
46.1236,-114.3181,0.13
46.105,-114.2778,0.08
46.0033,-114.1656,0.03
46.0047,-114.1672,0.02
46.0594,-114.2642,0.005
46.0708,-114.2519,0.015
46.0761,-114.2522,0.06
46.0819,-114.2583,0.035
46.0858,-114.2581,0.065
46.1275,-114.3581,0.035
46.1283,-114.3661,0.04
46.1317,-114.3706,0.03
46.1344,-114.3839,0.015
46.1333,-114.3942,0.065
46.1389,-114.4075,0.025
46.1436,-114.4517,0.025
46.14,-114.4456,0.06
46.1153,-114.2531,0.025
46.1194,-114.2539,0.02
46.125,-114.2544,0.01
46.0019,-114.0411,0.08
46.0017,-114.0533,0.03
46.0175,-114.0178,0.065
46.0117,-114.0236,0.115
46.0042,-114.0272,0.085
46.1122,-114.0081,0.08
46.1158,-114.0014,0.14
46.1053,-114.0039,0.02
46.1058,-114.0056,0.145
46.11,-114.0028,0.09
46.1131,-114.0117,0.135
46.1175,-114.0153,0.12
46.1214,-114.0172,0.145
46.1233,-114.0228,0.16
46.0217,-114.0142,0.09
46.0317,-114.0136,0.015
46.035,-114.0075,0.045
46.0381,-114.0092,0.04
46.0408,-114.0097,0.055
46.0428,-114.0111,0.01
46.0525,-114.0153,0.045
46.0547,-114.0197,0.075
46.0525,-114.0297,0.045
46.0461,-114.015,0.07
46.0217,-114.1553,0.025
46.0214,-114.1575,0.045
46.0247,-114.1419,0.06
46.0358,-114.1244,0.05
46.0353,-114.1169,0.04
46.0369,-114.1125,0.12
46.0358,-114.1081,0.06
46.0453,-114.0958,0.045
46.0317,-114.1294,0.045
