block_id,lon_min,lon_max,lat_min,lat_max,n_nure,n_positive_labels,mean_p,max_p,loco_auc,nearest_gold_deg,nearest_gold_km,spatial_flag,campaign_class,pour_lon,pour_lat,pour_snap_lon,pour_snap_lat,pour_elev_m,n_nure_spots,n_field_spots,catchment_ok,catchment_area_deg2,notes,walk_rank,n_pan_locations,n_hobby_hit
-2789885,-111.59999999999998,-111.19999999999996,46.0,46.4,105,76,0.3953,0.615,0.5692,0.0536,6.0,near_known_gold,expedition,-111.5028,46.2614,-111.500417,46.259861,1183.4,4,4,True,0.0045,,1.0,2,0
-2789884,-111.59999999999998,-111.19999999999996,46.4,46.8,123,100,0.412,0.665,0.6304,0.0442,4.9,near_known_gold,confirm,-111.5725,46.4792,-111.559583,46.487917,1161.8,1,1,True,0.0019,,2.0,2,0
-2799884,-112.0,-111.59999999999998,46.4,46.8,306,293,0.3043,0.67,0.4632,0.0375,4.2,near_known_gold,confirm,-111.8875,46.755,-111.885972,46.754861,1112.0,4,4,False,0.191,catchment_too_large_used_cell_spots,3.0,0,0
-2779885,-111.19999999999996,-110.79999999999995,46.0,46.4,18,0,0.3845,0.48,,0.2871,31.9,far_from_known_gold,watch,-111.1556,46.1147,-111.156528,46.114861,1382.5,1,1,True,0.0031,,4.0,2,0
-2829884,-113.2,-112.8,46.4,46.8,11,1,0.3544,0.4678,1.0,0.2167,24.1,far_from_known_gold,watch,-112.8181,46.5186,-112.819861,46.520139,1326.2,3,3,False,0.3538,catchment_too_large_used_cell_spots,5.0,0,0
-2819884,-112.8,-112.4,46.4,46.8,191,141,0.2879,0.4828,0.5059,0.2166,24.0,far_from_known_gold,watch,-112.7956,46.5264,-112.79375,46.522917,1336.2,4,4,False,0.125,catchment_too_large_used_cell_spots,6.0,0,0
-2779886,-111.19999999999996,-110.79999999999995,45.6,46.0,12,3,0.3596,0.4778,0.1111,0.1446,16.1,near_known_gold,watch,-111.1829,45.9112,-111.184583,45.91125,1357.8,4,4,True,0.0162,,7.0,2,0
-2779884,-111.19999999999996,-110.79999999999995,46.4,46.8,16,16,0.4133,0.55,,0.1372,15.2,near_known_gold,watch,-111.1589,46.7747,-111.166806,46.775694,1366.1,4,4,True,0.0596,,8.0,2,0
-2789886,-111.59999999999998,-111.19999999999996,45.6,46.0,212,159,0.4016,0.57,0.6314,0.1165,12.9,near_known_gold,watch,-111.4261,45.9853,-111.427361,45.993194,1232.2,4,4,False,1.5563,catchment_too_large_used_cell_spots,9.0,0,0
-2829885,-113.2,-112.8,46.0,46.4,11,8,0.3562,0.4292,0.3542,0.0751,8.3,near_known_gold,watch,-112.8067,46.3425,-112.786806,46.351528,1475.6,1,1,True,0.0019,,10.0,2,0
-2799886,-112.0,-111.59999999999998,45.6,46.0,642,549,0.3914,0.565,0.5024,0.0623,6.9,near_known_gold,watch,-111.6144,45.8728,-111.614861,45.873194,1246.5,4,4,False,1.0598,catchment_too_large_used_cell_spots,11.0,0,0
-2819887,-112.8,-112.4,45.2,45.6,140,74,0.3712,0.4978,0.5152,0.0599,6.7,near_known_gold,watch,-112.4519,45.5003,-112.452639,45.499861,1460.4,4,4,True,0.0052,,12.0,2,0
-2829887,-113.2,-112.8,45.2,45.6,24,19,0.3265,0.44,0.4211,0.0596,6.6,near_known_gold,watch,-112.8036,45.2119,-112.802361,45.213194,1688.2,3,3,True,0.0033,,13.0,2,0
-2809887,-112.4,-112.0,45.2,45.6,150,104,0.3658,0.485,0.4899,0.0436,4.8,near_known_gold,watch,-112.3706,45.5411,-112.370972,45.54125,1416.3,4,4,False,0.1871,catchment_too_large_used_cell_spots,14.0,0,0
-2819885,-112.8,-112.4,46.0,46.4,390,368,0.1885,0.4607,0.4574,0.0434,4.8,near_known_gold,watch,-112.7461,46.3603,-112.745972,46.360417,1392.6,4,4,True,0.0036,,15.0,2,0
-2789887,-111.59999999999998,-111.19999999999996,45.2,45.6,412,143,0.3665,0.545,0.4107,0.0407,4.5,near_known_gold,watch,-111.587,45.5373,-111.587083,45.537361,1412.9,1,1,True,0.0027,,16.0,2,0
-2799885,-112.0,-111.59999999999998,46.0,46.4,260,240,0.2618,0.56,0.5272,0.0385,4.3,near_known_gold,watch,-111.62,46.0581,-111.621806,46.072083,1308.8,4,4,True,0.0136,,17.0,2,0
-2809886,-112.4,-112.0,45.6,46.0,429,340,0.2242,0.49,0.5552,0.0319,3.5,near_known_gold,watch,-112.1233,45.8103,-112.123194,45.814028,1331.8,4,4,True,0.0153,,18.0,2,0
-2829886,-113.2,-112.8,45.6,46.0,10,5,0.3643,0.44,0.52,0.0317,3.5,near_known_gold,watch,-112.8139,45.9833,-112.810139,45.981806,1677.6,3,3,True,0.0022,,19.0,2,0
-2819886,-112.8,-112.4,45.6,46.0,297,251,0.2034,0.4628,0.5884,0.0237,2.6,near_known_gold,watch,-112.6942,45.6011,-112.694306,45.600694,1583.8,3,3,True,0.0041,,20.0,2,0
-2809885,-112.4,-112.0,46.0,46.4,456,419,0.1458,0.5178,0.4674,0.0109,1.2,near_known_gold,watch,-112.0256,46.3997,-112.020694,46.396528,1395.8,4,4,True,0.0153,,21.0,2,0
-2809884,-112.4,-112.0,46.4,46.8,305,273,0.2068,0.575,0.5467,0.0085,0.9,near_known_gold,watch,-112.0558,46.7344,-112.056528,46.73375,1210.5,2,2,True,0.0022,,22.0,2,0
-2799887,-112.0,-111.59999999999998,45.2,45.6,131,87,0.3449,0.485,0.5607,0.0055,0.6,near_known_gold,watch,-111.6472,45.5854,-111.647083,45.587083,1454.4,4,4,True,0.0203,,23.0,2,0
-2779887,-111.19999999999996,-110.79999999999995,45.2,45.6,21,4,0.3147,0.395,0.5588,0.0697,7.7,near_known_gold,skip,-111.1742,45.544,-111.179583,45.546528,1614.6,3,3,True,0.002,,,0,0
-2829888,-113.2,-112.8,44.8,45.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2829883,-113.2,-112.8,46.8,47.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2819888,-112.8,-112.4,44.8,45.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2819883,-112.8,-112.4,46.8,47.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2809888,-112.4,-112.0,44.8,45.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2809883,-112.4,-112.0,46.8,47.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2799888,-112.0,-111.59999999999998,44.8,45.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2799883,-112.0,-111.59999999999998,46.8,47.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2789888,-111.59999999999998,-111.19999999999996,44.8,45.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2789883,-111.59999999999998,-111.19999999999996,46.8,47.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2779888,-111.19999999999996,-110.79999999999995,44.8,45.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
-2779883,-111.19999999999996,-110.79999999999995,46.8,47.2,0,0,,,,,,no_nure,skip,,,,,,0,0,False,,,,0,0
