walk_rank,block_id,campaign_class,spot_order,role,lon,lat,p_anomalous,elev_m
1.0,-2789885,expedition,1,high_p_sample,-111.5511,46.2108,0.44,1266.2
1.0,-2789885,expedition,2,high_p_sample,-111.5353,46.2106,0.48,1228.8
1.0,-2789885,expedition,3,high_p_sample,-111.5222,46.2211,0.45,1226.5
1.0,-2789885,expedition,4,high_p_sample,-111.5028,46.2614,0.4478,1183.4
2.0,-2789884,confirm,1,high_p_sample,-111.5725,46.4792,0.469,1161.8
3.0,-2799884,confirm,1,high_p_sample,-111.8358,46.4831,0.56,1602.5
3.0,-2799884,confirm,2,high_p_sample,-111.9803,46.4786,0.61,1275.6
3.0,-2799884,confirm,3,high_p_sample,-111.8369,46.6822,0.67,1127.2
3.0,-2799884,confirm,4,high_p_sample,-111.8875,46.755,0.405,1112.0
4.0,-2779885,watch,1,high_p_sample,-111.1556,46.1147,0.404,1382.5
5.0,-2829884,watch,1,high_p_sample,-112.8228,46.4697,0.4178,1456.7
5.0,-2829884,watch,2,high_p_sample,-112.83,46.5656,0.4678,1357.5
5.0,-2829884,watch,3,high_p_sample,-112.8181,46.5186,0.3992,1326.2
6.0,-2819884,watch,1,high_p_sample,-112.5531,46.6072,0.4828,1479.8
6.0,-2819884,watch,2,high_p_sample,-112.7269,46.7431,0.45,1473.4
6.0,-2819884,watch,3,high_p_sample,-112.7681,46.7753,0.455,1419.4
6.0,-2819884,watch,4,high_p_sample,-112.7956,46.5264,0.355,1336.2
7.0,-2779886,watch,1,high_p_sample,-111.1772,46.0028,0.41,1472.7
7.0,-2779886,watch,2,high_p_sample,-111.1651,45.9918,0.4778,1467.1
7.0,-2779886,watch,3,high_p_sample,-111.17,45.9312,0.42,1398.6
7.0,-2779886,watch,4,high_p_sample,-111.1829,45.9112,0.4278,1357.8
8.0,-2779884,watch,1,high_p_sample,-111.3736,46.6564,0.665,1704.2
8.0,-2779884,watch,2,high_p_sample,-111.2306,46.6403,0.565,1550.8
8.0,-2779884,watch,3,high_p_sample,-111.1969,46.6336,0.55,1488.4
8.0,-2779884,watch,4,high_p_sample,-111.1589,46.7747,0.425,1366.1
9.0,-2789886,watch,1,high_p_sample,-111.5881,45.7147,0.545,1514.8
9.0,-2789886,watch,2,high_p_sample,-111.5739,45.7344,0.57,1430.9
9.0,-2789886,watch,3,high_p_sample,-111.52,45.7472,0.545,1331.1
9.0,-2789886,watch,4,high_p_sample,-111.4261,45.9853,0.45,1232.2
10.0,-2829885,watch,1,high_p_sample,-112.8067,46.3425,0.425,1475.6
11.0,-2799886,watch,1,high_p_sample,-111.7186,45.7317,0.555,1558.3
11.0,-2799886,watch,2,high_p_sample,-111.7833,45.6825,0.565,1520.7
11.0,-2799886,watch,3,high_p_sample,-111.9756,45.9003,0.555,1413.5
11.0,-2799886,watch,4,high_p_sample,-111.6144,45.8728,0.4286,1246.5
12.0,-2819887,watch,1,high_p_sample,-112.6028,45.5233,0.41,2263.9
12.0,-2819887,watch,2,high_p_sample,-112.5542,45.5375,0.4078,1834.3
12.0,-2819887,watch,3,high_p_sample,-112.5308,45.545,0.4078,1745.8
12.0,-2819887,watch,4,high_p_sample,-112.4519,45.5003,0.425,1460.4
13.0,-2829887,watch,1,high_p_sample,-112.8328,45.2247,0.23,1726.3
13.0,-2829887,watch,2,high_p_sample,-112.8261,45.2242,0.25,1719.8
13.0,-2829887,watch,3,high_p_sample,-112.8036,45.2119,0.38,1688.2
14.0,-2809887,watch,1,high_p_sample,-112.3533,45.3103,0.47,1730.3
14.0,-2809887,watch,2,high_p_sample,-112.0492,45.2978,0.4678,1678.1
14.0,-2809887,watch,3,high_p_sample,-112.1486,45.3186,0.485,1634.9
14.0,-2809887,watch,4,high_p_sample,-112.3706,45.5411,0.3992,1416.3
15.0,-2819885,watch,1,high_p_sample,-112.8067,46.3425,0.425,1475.6
15.0,-2819885,watch,2,high_p_sample,-112.7897,46.3542,0.45,1446.5
15.0,-2819885,watch,3,high_p_sample,-112.7714,46.3669,0.43,1430.4
15.0,-2819885,watch,4,high_p_sample,-112.7461,46.3603,0.415,1392.6
16.0,-2789887,watch,1,high_p_sample,-111.587,45.5373,0.385,1412.9
17.0,-2799885,watch,1,high_p_sample,-111.7631,46.0825,0.5436,1535.6
17.0,-2799885,watch,2,high_p_sample,-111.7653,46.0569,0.53,1492.9
17.0,-2799885,watch,3,high_p_sample,-111.7261,46.0342,0.45,1420.9
17.0,-2799885,watch,4,high_p_sample,-111.62,46.0581,0.365,1308.8
18.0,-2809886,watch,1,high_p_sample,-112.3306,45.7756,0.49,1778.5
18.0,-2809886,watch,2,high_p_sample,-112.2364,45.7939,0.4628,1472.2
18.0,-2809886,watch,3,high_p_sample,-112.1567,45.7925,0.4357,1340.2
18.0,-2809886,watch,4,high_p_sample,-112.1233,45.8103,0.3828,1331.8
19.0,-2829886,watch,1,high_p_sample,-112.8392,45.9653,0.325,1851.6
19.0,-2829886,watch,2,high_p_sample,-112.8394,45.9656,0.395,1839.8
19.0,-2829886,watch,3,high_p_sample,-112.8139,45.9833,0.44,1677.6
20.0,-2819886,watch,1,high_p_sample,-112.8089,45.5919,0.4357,1913.6
20.0,-2819886,watch,2,high_p_sample,-112.7403,45.5917,0.4042,1707.8
20.0,-2819886,watch,3,high_p_sample,-112.6942,45.6011,0.415,1583.8
21.0,-2809885,watch,1,high_p_sample,-111.9033,46.3417,0.485,2099.7
21.0,-2809885,watch,2,high_p_sample,-111.9528,46.3542,0.44,1740.1
21.0,-2809885,watch,3,high_p_sample,-111.9831,46.3606,0.445,1559.8
21.0,-2809885,watch,4,high_p_sample,-112.0256,46.3997,0.1825,1395.8
22.0,-2809884,watch,1,high_p_sample,-112.0872,46.7522,0.4228,1280.0
22.0,-2809884,watch,2,high_p_sample,-112.0558,46.7344,0.3692,1210.5
23.0,-2799887,watch,1,high_p_sample,-111.7628,45.5684,0.455,1555.2
23.0,-2799887,watch,2,high_p_sample,-111.6679,45.5695,0.42,1519.7
