walk_rank,block_id,campaign_class,pan_order,role,lon,lat,elev_m,trap_score,why,slope,omega
16.0,-2829887,confirm,1,pan,-112.804307,45.287918,1786.3,7.0,slope_break;knickpoint_foot;tributary_junction;near_hot_nure,0.03098,520.2
16.0,-2829887,confirm,2,pan,-112.820972,45.295972,1851.0,5.5,slope_break;knickpoint_foot;near_hot_nure,0.03144,457.4
9.0,-2829886,confirm,1,pan,-112.797083,45.970168,1723.4,6.0,slope_break;knickpoint_foot;power_drop,0.01928,677.8
9.0,-2829886,confirm,2,pan,-112.789028,45.952665,1817.8,6.0,slope_break;knickpoint_foot;power_drop,0.03211,0.3
6.0,-2819887,expedition,1,pan,-112.52827,45.543548,1731.9,7.0,slope_break;knickpoint_foot;tributary_junction;near_hot_nure,0.0221,272.5
6.0,-2819887,expedition,2,pan,-112.506473,45.527083,1668.2,6.0,slope_break;knickpoint_foot;power_drop,0.02478,126.1
13.0,-2819886,confirm,1,pan,-112.785108,45.592083,1842.0,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.02674,966.3
13.0,-2819886,confirm,2,pan,-112.862051,45.58875,2182.8,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.08877,1.2
12.0,-2819885,confirm,1,pan,-112.745972,46.318527,1408.7,6.0,slope_break;knickpoint_foot;power_drop,0.0035,227.5
12.0,-2819885,confirm,2,pan,-112.777852,46.301593,1440.1,6.0,slope_break;knickpoint_foot;power_drop,0.00741,0.0
1.0,-2819884,expedition,1,pan,-112.683659,46.494119,1462.2,6.0,slope_break;knickpoint_foot;power_drop,0.00294,0.0
1.0,-2819884,expedition,2,pan,-112.669735,46.494583,1527.3,4.0,slope_break;knickpoint_foot,0.03172,551.7
3.0,-2809886,expedition,1,pan,-112.149544,45.874861,1338.9,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.00031,196.7
3.0,-2809886,expedition,2,pan,-112.336722,45.98061,1831.9,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.00728,698.1
15.0,-2809885,confirm,1,pan,-111.964347,46.357361,1650.4,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.00577,206.7
15.0,-2809885,confirm,2,pan,-112.069583,46.370245,1485.9,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.03621,56.3
17.0,-2809884,confirm,1,pan,-112.269799,46.643688,1483.5,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.02801,522.9
17.0,-2809884,confirm,2,pan,-112.248194,46.641112,1442.0,6.0,slope_break;knickpoint_foot;power_drop,0.00681,347.0
18.0,-2799887,confirm,1,pan,-111.649653,45.578542,1470.1,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.0089,43.6
18.0,-2799887,confirm,2,pan,-111.70441,45.546076,1492.5,9.0,slope_break;knickpoint_foot;power_drop;tributary_junction;near_hot_nure,0.01848,9.6
4.0,-2799886,expedition,1,pan,-111.589583,45.854485,1247.8,5.5,slope_break;knickpoint_foot;tributary_junction,0.00111,15.3
4.0,-2799886,expedition,2,pan,-111.591596,45.845417,1251.3,4.0,knickpoint_foot;power_drop,0.01427,0.2
19.0,-2799885,confirm,1,pan,-111.679243,46.186743,1449.9,6.0,slope_break;knickpoint_foot;power_drop,0.02119,421.4
19.0,-2799885,confirm,2,pan,-111.66609,46.184701,1400.9,6.0,slope_break;knickpoint_foot;power_drop,0.01763,397.0
11.0,-2799884,confirm,1,pan,-111.824861,46.658755,1127.1,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.00061,9.8
11.0,-2799884,confirm,2,pan,-111.824184,46.671094,1112.5,7.5,slope_break;knickpoint_foot;power_drop;near_hot_nure,0.0,0.0
5.0,-2789886,expedition,1,pan,-111.485848,45.982207,1294.0,6.0,slope_break;knickpoint_foot;power_drop,0.01928,0.1
5.0,-2789886,expedition,2,pan,-111.505038,45.974684,1354.3,6.0,slope_break;knickpoint_foot;power_drop,0.01293,0.1
7.0,-2789884,expedition,1,pan,-111.586429,46.483472,1194.1,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.01242,172.7
7.0,-2789884,expedition,2,pan,-111.57143,46.47875,1157.7,6.0,slope_break;knickpoint_foot;power_drop,0.01855,0.1
2.0,-2779884,expedition,1,pan,-111.190111,46.687389,1405.0,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.01966,0.0
2.0,-2779884,expedition,2,pan,-111.3169,46.7519,1513.1,7.5,slope_break;knickpoint_foot;power_drop;tributary_junction,0.11596,63.8
