lon,lat,p_anomalous,label,nearest_gold_deg
-112.5656,45.9292,0.03,1,0.04213002967006424
-112.5744,45.92,0.005,1,0.042493145329570874
-112.5756,45.9167,0.005,1,0.04181434442867267
-112.5722,45.9111,0.0,1,0.0362861323372953
-112.5722,45.9111,0.0,1,0.0362861323372953
-112.5722,45.9111,0.0,1,0.0362861323372953
-112.52,45.9108,0.005,1,0.02369800413537566
-112.52,45.9108,0.01,1,0.02369800413537566
-112.52,45.9108,0.01,1,0.02369800413537566
-112.52,45.9108,0.005,1,0.02369800413537566
-112.5306,45.8819,0.06,1,0.015114764305138098
-112.5081,45.8806,0.005,1,0.03467861156390269
-112.5175,45.8831,0.06,1,0.02505083032556229
-112.6056,46.015,0.02,1,0.002895876378574171
-112.7083,46.1792,0.055,1,0.025675669416785098
-112.7375,46.1944,0.005,1,0.0073239333694429445
-112.6022,46.0539,0.01,1,0.015256346220506914
-112.5964,46.0694,0.01,1,0.004500011111101676
-112.5964,46.0694,0.02,1,0.004500011111101676
-112.5964,46.0694,0.02,1,0.004500011111101676
-112.5722,46.0761,0.01,1,0.023595213497647545
-112.5722,46.0761,0.02,1,0.023595213497647545
-112.7375,46.1944,0.005,1,0.0073239333694429445
-112.7375,46.1944,0.015,1,0.0073239333694429445
-112.5722,46.0761,0.015,1,0.023595213497647545
-112.5975,46.0806,0.01,1,0.011989249350982105
-112.5839,46.0917,0.01,1,0.02827401810851129
-112.5839,46.0917,0.02,1,0.02827401810851129
-112.5839,46.0917,0.02,1,0.02827401810851129
-112.5839,46.0917,0.01,1,0.02827401810851129
-112.5656,46.2375,0.005,1,0.04651442894414823
-112.5889,46.0914,0.02,1,0.0253189671985319
-112.6194,46.1033,0.01,1,0.03544444949494829
-112.6194,46.1033,0.02,1,0.03544444949494829
-112.6194,46.1033,0.02,1,0.03544444949494829
-112.6042,46.1278,0.24,1,0.015446067460677093
-112.6042,46.1278,0.01,1,0.015446067460677093
-112.6042,46.1278,0.02,1,0.015446067460677093
-112.6042,46.1278,0.01,1,0.015446067460677093
-112.5656,46.2375,0.06,1,0.04651442894414823
-112.5656,46.2375,0.01,1,0.04651442894414823
-112.5925,46.1342,0.01,1,0.02323327355324528
-112.5667,46.1406,0.01,1,0.04867489085761042
-112.5667,46.1406,0.02,1,0.04867489085761042
-112.5667,46.1406,0.02,1,0.04867489085761042
-112.5586,46.1378,0.01,1,0.056734442801531
-112.5586,46.1378,0.02,1,0.056734442801531
-112.5586,46.1378,0.02,1,0.056734442801531
-112.5719,46.1353,0.015,1,0.04354846725201746
-112.63,46.1392,0.01,1,0.009515676539269699
-112.63,46.1392,0.02,1,0.009515676539269699
-112.63,46.1392,0.015,1,0.009515676539269699
-112.1761,45.9478,0.02,1,0.056554402127502686
-112.1789,45.9736,0.01,1,0.049912086712541194
-112.1478,45.8803,0.01,1,0.10023221288588573
-112.1761,45.9836,0.01,1,0.043834967776872645
-112.6411,46.1519,0.02,1,0.00882327036874323
-112.525,46.2236,0.0,1,0.043185670077007986
-112.525,46.2236,0.01,1,0.043185670077007986
-112.525,46.2236,0.005,1,0.043185670077007986
-112.5458,46.1867,0.01,1,0.0814117688052558
-112.1778,45.9797,0.02,1,0.04563762044628969
-112.6411,46.1581,0.015,1,0.01273460246728867
-112.6361,46.1572,0.015,1,0.009490000000001367
-112.6325,46.1092,0.01,1,0.033968882819419954
-112.5458,46.1867,0.02,1,0.0814117688052558
-112.6158,46.1381,0.02,1,0.0006236986451719332
-112.6139,46.1375,0.01,1,0.0017507141399968563
-112.6139,46.1375,0.015,1,0.0017507141399968563
-112.6139,46.1375,0.01,1,0.0017507141399968563
-112.6139,46.1375,0.01,1,0.0017507141399968563
-112.6656,46.135,0.005,1,0.0350876060739438
-112.6656,46.135,0.01,1,0.0350876060739438
-112.6656,46.135,0.005,1,0.0350876060739438
-112.6656,46.135,0.0,1,0.0350876060739438
-112.6664,46.1289,0.005,1,0.038497351856979174
-112.6556,46.1236,0.03,1,0.03334456627398949
-112.6833,46.0139,0.01,1,0.013988713307524128
-112.6833,46.0139,0.02,1,0.013988713307524128
-112.6833,46.0139,0.02,1,0.013988713307524128
-112.6925,46.0503,0.015,1,0.02363277596897449
-112.6925,46.0503,0.02,1,0.02363277596897449
-112.6925,46.0503,0.02,1,0.02363277596897449
-112.6878,46.0361,0.01,1,0.008685856319319922
-112.6878,46.0361,0.02,1,0.008685856319319922
-112.6878,46.0361,0.02,1,0.008685856319319922
-112.6753,46.025,0.01,1,0.010638331636129253
-112.6753,46.025,0.015,1,0.010638331636129253
-112.6753,46.025,0.015,1,0.010638331636129253
-112.5458,46.1867,0.01,1,0.0814117688052558
-112.7394,46.0394,0.01,1,0.029085529047969773
-112.7394,46.0394,0.02,1,0.029085529047969773
-111.8014,46.1411,0.02,1,0.037901076501865874
-111.8014,46.1411,0.02,1,0.037901076501865874
-111.8014,46.1411,0.02,1,0.037901076501865874
-111.7739,46.0203,0.02,1,0.07920168811332402
-111.7739,46.0203,0.02,1,0.07920168811332402
-111.7739,46.0203,0.02,1,0.07920168811332402
-112.7394,46.0394,0.02,1,0.029085529047969773
-112.7219,46.0247,0.01,1,0.01291402338544993
-111.7889,46.1792,0.02,1,0.020006289011208975
-112.7219,46.0247,0.02,1,0.01291402338544993
-112.7219,46.0247,0.02,1,0.01291402338544993
-112.7281,45.9708,0.0,1,0.04056902882741626
-112.7189,45.9897,0.005,1,0.02072805104200558
-112.7331,45.9892,0.01,1,0.02446242015827822
-112.7461,45.9883,0.005,1,0.031021089600464687
-112.3917,45.8117,0.005,1,0.02095414517464588
-112.3917,45.8117,0.01,1,0.02095414517464588
-112.3917,45.8117,0.01,1,0.02095414517464588
-112.3872,45.8286,0.01,1,0.01701023809357085
-112.3872,45.8286,0.015,1,0.01701023809357085
-112.3872,45.8286,0.015,1,0.01701023809357085
-112.4311,45.845,0.0,1,0.01970610057824822
-112.1411,45.9806,0.02,1,0.07397096998147609
-112.1411,45.9806,0.02,1,0.07397096998147609
-112.1411,45.9806,0.02,1,0.07397096998147609
-111.9556,46.3514,0.0,1,0.048331655258233026
-111.9556,46.3514,0.005,1,0.048331655258233026
-111.9556,46.3514,0.0,1,0.048331655258233026
-111.9467,46.2819,0.005,1,0.0028072940708108733
-111.9467,46.2819,0.01,1,0.0028072940708108733
-111.9467,46.2819,0.005,1,0.0028072940708108733
-111.8889,46.2639,0.01,1,0.02641991105208694
-111.8889,46.2639,0.02,1,0.02641991105208694
-111.8889,46.2639,0.01,1,0.02641991105208694
-111.8333,46.2556,0.015,1,0.029330710867616523
-111.8333,46.2556,0.02,1,0.029330710867616523
-111.8333,46.2556,0.02,1,0.029330710867616523
-111.7597,46.2236,0.02,1,0.008238015537742975
-111.7597,46.2236,0.02,1,0.008238015537742975
-111.7597,46.2236,0.02,1,0.008238015537742975
-112.2714,45.8361,0.015,1,0.020763992872281475
-112.2714,45.8361,0.02,1,0.020763992872281475
-112.2714,45.8361,0.02,1,0.020763992872281475
-111.9778,46.6694,0.01,1,0.06943194077655881
-111.9778,46.6694,0.01,1,0.06943194077655881
-111.9778,46.6694,0.01,1,0.06943194077655881
-111.8694,46.6911,0.0,1,0.03215155361720439
-111.8694,46.6911,0.0,1,0.03215155361720439
-111.8694,46.6911,0.5506237317444119,1,0.03215155361720439
-111.9056,46.695,0.01,1,0.04733667077435983
-111.9722,46.5603,0.02,1,0.017475251071159086
-111.9722,46.5603,0.02,1,0.017475251071159086
-111.9722,46.5603,0.02,1,0.017475251071159086
-111.9633,46.5639,0.02,1,0.011857419618111415
-111.9633,46.5639,0.02,1,0.011857419618111415
-111.9633,46.5639,0.02,1,0.011857419618111415
-111.9903,46.5297,0.015,1,0.033612503625889356
-111.9903,46.5297,0.01,1,0.033612503625889356
-111.9903,46.5297,0.01,1,0.033612503625889356
-111.95,46.5306,0.015,1,0.01033094380974201
-111.95,46.5306,0.02,1,0.01033094380974201
-111.95,46.5306,0.02,1,0.01033094380974201
-111.9194,46.5217,0.01,1,0.014639617481339974
-111.9194,46.5217,0.01,1,0.014639617481339974
-111.9194,46.5217,0.005,1,0.014639617481339974
-111.9361,46.5803,0.01,1,0.032009848484488936
-111.9361,46.5803,0.015,1,0.032009848484488936
-111.9361,46.5803,0.02,1,0.032009848484488936
-111.9333,46.5347,0.02,1,0.009671835399755335
-111.9333,46.5347,0.005,1,0.009671835399755335
-111.9333,46.5347,0.0,1,0.009671835399755335
-112.5825,46.3658,0.02,1,0.0052590968806415965
-112.5825,46.3658,0.02,1,0.0052590968806415965
-112.5825,46.3658,0.02,1,0.0052590968806415965
-112.5928,46.3472,0.015,1,0.018157128076876267
-112.6361,46.3,0.0,1,0.03374803697994515
-112.6361,46.3,0.025,1,0.03374803697994515
-112.6361,46.3,0.0,1,0.03374803697994515
-112.2458,46.5247,0.0,1,0.022687399586554344
-112.2458,46.5247,0.03,1,0.022687399586554344
-112.2458,46.5247,0.005,1,0.022687399586554344
-112.0536,46.5547,0.01,1,0.0044369358796331505
-112.0536,46.5547,0.01,1,0.0044369358796331505
-112.0536,46.5547,0.01,1,0.0044369358796331505
-112.0583,46.5658,0.02,1,0.013693151572951876
-112.0583,46.5658,0.02,1,0.013693151572951876
