sample_id,lon,lat,domain,Th,Ce,La,Nd,P,Y,U,Zr,Ti,Fe
NURE_WA_0000,-118.87637964345791,48.63158181490144,MCC,3.49,19.8,13.21,7.16,525.63,10.1,2.44,43.42,4635.82,47646.46
NURE_WA_0001,-117.14785708077025,47.74406246866282,BACKGROUND,7.72,127.73,8.27,79.69,649.07,10.44,2.08,140.24,4024.82,40461.58
NURE_WA_0002,-117.80401817456578,48.4220613762669,BATHOLITH,4.15,33.85,38.2,73.99,434.01,31.98,1.09,76.53,1768.36,31252.0
NURE_WA_0003,-118.20402454740889,48.47074407421257,BATHOLITH,7.06,149.69,14.22,23.88,384.02,18.86,2.83,142.12,2131.18,18324.33
NURE_WA_0004,-119.5319440786727,48.178609074083816,MCC,10.31,109.92,90.75,21.73,470.96,113.45,1.14,163.61,3926.2,34499.95
NURE_WA_0005,-119.53201643899139,48.67831077699956,MCC,6.04,99.43,23.09,76.86,1036.67,31.64,1.62,90.26,1996.95,24676.56
NURE_WA_0006,-119.8257491634954,48.994987223630424,MCC,38.54,109.45,59.54,37.48,1310.72,138.24,1.82,71.74,5176.13,7396.91
NURE_WA_0007,-117.4014715626752,48.98090962065084,BACKGROUND,4.15,20.12,34.53,20.71,189.37,10.78,0.43,121.07,4515.1,19331.2
NURE_WA_0008,-118.19665496477037,48.22134299424661,BATHOLITH,28.2,176.73,26.41,68.49,558.71,12.8,1.53,87.01,3111.44,32986.68
NURE_WA_0009,-117.87578226661186,47.681180873345205,BATHOLITH,5.67,66.13,60.97,43.65,225.83,3.75,3.6,48.22,3406.55,15685.91
NURE_WA_0010,-119.93824651711259,49.075745918339734,MCC,20.73,201.88,32.69,5.35,887.24,44.78,0.94,113.91,3826.1,41381.35
NURE_WA_0011,-117.09027044351402,48.8422369383135,BACKGROUND,2.52,124.47,19.83,19.35,306.64,12.07,1.31,93.49,9969.19,14025.38
NURE_WA_0012,-117.50267207759873,47.69946028992523,BACKGROUND,1.48,58.26,26.89,51.25,276.35,6.36,1.71,97.98,6431.68,65613.67
NURE_WA_0013,-119.36298266796517,48.973347012187794,MCC,37.26,325.53,198.95,48.72,811.82,47.73,1.47,314.25,4162.21,24508.75
NURE_WA_0014,-119.4545250983787,48.89183417929941,MCC,2.32,25.79,77.47,14.44,362.83,26.19,4.14,153.3,6703.68,19726.3
NURE_WA_0015,-119.4497864704397,48.33014089140172,MCC,48.92,87.06,45.5,148.24,1735.52,49.25,7.12,72.02,6454.87,30976.23
NURE_WA_0016,-119.08727327112139,48.44604069719189,MCC,41.14,142.9,72.16,98.5,856.04,19.74,1.2,34.58,12067.65,16278.78
NURE_WA_0017,-118.42573070510329,48.13840432619221,BATHOLITH,7.02,92.83,69.78,40.53,372.36,14.07,2.51,89.64,9408.65,39403.62
NURE_WA_0018,-118.70416494407365,47.58761862211525,BACKGROUND,9.82,122.09,26.31,6.73,642.15,10.76,1.6,142.44,7667.41,30368.35
NURE_WA_0019,-119.12631257940588,48.03631558663344,MCC,15.4,399.26,58.22,363.69,1482.36,12.24,3.26,127.12,7889.4,43592.87
NURE_WA_0020,-118.16444131583286,48.78456551775682,BATHOLITH,2.44,46.15,13.32,12.21,713.06,38.96,2.67,53.02,4937.57,58273.85
NURE_WA_0021,-119.58151841804387,47.507411236807364,BACKGROUND,5.06,46.53,11.77,33.97,481.12,19.48,1.31,80.74,5759.81,24406.88
