block_id,lon_min,lon_max,lat_min,lat_max,n_nure,n_positive_labels,mean_p,max_p,loco_auc,nearest_gold_deg,nearest_gold_km,spatial_flag,campaign_class,pour_lon,pour_lat,pour_snap_lon,pour_snap_lat,pour_elev_m,n_field_spots,catchment_ok,catchment_area_deg2,notes,walk_rank,n_pan_locations,n_hobby_hit
-2939880,-117.59999999999997,-117.19999999999996,48.0,48.4,5,4,0.799,0.94,,0.1387,15.4,near_known_gold,expedition,-117.484115,48.070729,-117.488472,48.054861,743.6,1,True,0.0015,,1.0,2,0
-2959882,-118.39999999999998,-117.99999999999996,47.2,47.6,2,1,0.4318,0.705,,0.1291,14.3,near_known_gold,expedition,-118.127468,47.533767,-118.127361,47.538194,689.9,1,True,0.0142,,2.0,2,0
-2949880,-117.99999999999996,-117.59999999999997,48.0,48.4,10,9,0.7525,0.845,0.5556,0.1168,13.0,near_known_gold,expedition,-117.830521,48.073225,-117.820417,48.048472,709.6,3,True,0.0014,,3.0,2,0
-2969880,-118.79999999999998,-118.39999999999998,48.0,48.4,4,3,0.72,0.925,,0.0934,10.4,near_known_gold,expedition,-118.632795,48.355997,-118.633194,48.357917,963.0,3,True,0.0052,,4.0,2,0
-2979881,-119.2,-118.79999999999998,47.6,48.0,12,5,0.4704,0.94,0.3429,0.091,10.1,near_known_gold,expedition,-118.912229,47.941815,-118.912361,47.947361,384.0,3,True,0.0204,,5.0,2,0
-2949879,-117.99999999999996,-117.59999999999997,48.4,48.8,5,5,0.91,0.935,,0.0767,8.5,near_known_gold,expedition,-117.828309,48.434067,-117.844306,48.406528,631.6,3,True,0.0015,,6.0,2,0
-2979880,-119.2,-118.79999999999998,48.0,48.4,15,14,0.8695,0.975,0.9286,0.0602,6.7,near_known_gold,expedition,-119.177243,48.137675,-119.177361,48.137639,324.6,3,True,0.005,,7.0,2,0
-2929879,-117.19999999999996,-116.79999999999995,48.4,48.8,52,25,0.4568,0.95,0.3815,0.0591,6.6,near_known_gold,expedition,-117.04356,48.70881,-117.043472,48.707917,943.8,4,True,0.0088,,8.0,2,0
-2939879,-117.59999999999997,-117.19999999999996,48.4,48.8,600,38,0.0701,0.955,0.6446,0.0538,6.0,near_known_gold,expedition,-117.398565,48.467963,-117.398472,48.467639,836.2,1,True,0.0079,,9.0,2,0
-2929880,-117.19999999999996,-116.79999999999995,48.0,48.4,2,2,0.865,0.92,,0.0521,5.8,near_known_gold,expedition,-117.175766,48.225738,-117.176806,48.225694,630.2,2,True,0.0019,,10.0,2,0
-2989880,-119.6,-119.2,48.0,48.4,3,1,0.4,0.875,,0.0454,5.0,near_known_gold,confirm,-119.300871,48.202652,-119.285417,48.214306,417.7,1,True,0.0042,,11.0,2,0
-2979879,-119.2,-118.79999999999998,48.4,48.8,7,6,0.8571,0.9817,,0.0409,4.5,near_known_gold,confirm,-119.175043,48.593213,-119.175417,48.59375,1104.6,2,True,0.0015,,12.0,2,0
-2949878,-117.99999999999996,-117.59999999999997,48.8,49.2,3,1,0.5017,0.94,,0.0401,4.5,near_known_gold,confirm,-117.965268,48.874909,-117.965139,48.874861,602.9,1,True,0.004,,13.0,2,0
-2989879,-119.6,-119.2,48.4,48.8,6,5,0.7542,0.95,,0.0367,4.1,near_known_gold,confirm,-119.549497,48.438207,-119.569861,48.420417,394.7,3,True,0.0015,,14.0,2,0
-2999880,-120.0,-119.6,48.0,48.4,7,4,0.5736,0.97,,0.0309,3.4,near_known_gold,confirm,-119.656441,48.016534,-119.66375,48.00625,386.7,4,True,0.3693,,15.0,0,1
-2999879,-120.0,-119.6,48.4,48.8,3,2,0.5783,0.885,,0.0305,3.4,near_known_gold,confirm,-119.762295,48.691815,-119.762639,48.692083,943.7,2,True,0.002,,16.0,2,0
-2969881,-118.79999999999998,-118.39999999999998,47.6,48.0,19,18,0.895,0.9905,1.0,0.0281,3.1,near_known_gold,confirm,-118.542012,47.894879,-118.525694,47.893472,384.0,3,True,0.0019,,17.0,2,0
-2939878,-117.59999999999997,-117.19999999999996,48.8,49.2,24,19,0.6542,0.9634,0.3368,0.0278,3.1,near_known_gold,confirm,-117.292742,48.856867,-117.294583,48.855139,801.6,4,True,0.0395,,18.0,2,0
-2999878,-120.0,-119.6,48.8,49.2,5,2,0.399,0.73,,0.0204,2.3,near_known_gold,confirm,-119.733966,48.851263,-119.734583,48.849028,866.5,2,True,0.0391,,19.0,2,0
-2959881,-118.39999999999998,-117.99999999999996,47.6,48.0,70,44,0.6031,0.9362,0.8029,0.014,1.6,near_known_gold,confirm,-118.353003,47.954882,-118.34125,47.968472,384.0,3,True,0.0015,,20.0,2,0
-2979878,-119.2,-118.79999999999998,48.8,49.2,9,5,0.5406,0.925,0.4,0.0133,1.5,near_known_gold,confirm,-119.025597,48.972401,-119.033472,48.965694,927.2,3,True,0.0231,,21.0,2,3
-2969878,-118.79999999999998,-118.39999999999998,48.8,49.2,3,1,0.4405,0.9,,0.0107,1.2,near_known_gold,confirm,-118.673919,48.85878,-118.673472,48.85875,887.2,1,True,0.0026,,22.0,2,0
-2959880,-118.39999999999998,-117.99999999999996,48.0,48.4,30,30,0.9481,0.9754,,0.0101,1.1,near_known_gold,confirm,-118.193,48.194289,-118.195139,48.19625,388.5,4,True,0.2543,,23.0,0,3
-2929878,-117.19999999999996,-116.79999999999995,48.8,49.2,61,17,0.3465,0.948,0.4993,0.0089,1.0,near_known_gold,confirm,-117.187739,48.840757,-117.189861,48.845694,1016.9,4,True,0.0142,,24.0,2,0
-2959878,-118.39999999999998,-117.99999999999996,48.8,49.2,1,1,0.84,0.84,,0.0074,0.8,near_known_gold,confirm,-118.038882,48.85713,-118.041528,48.855139,863.4,1,True,0.002,,25.0,2,0
-2969879,-118.79999999999998,-118.39999999999998,48.4,48.8,6,5,0.7158,0.935,,0.0062,0.7,near_known_gold,confirm,-118.779193,48.458772,-118.779306,48.457917,630.9,4,True,0.0974,,26.0,0,0
-2959879,-118.39999999999998,-117.99999999999996,48.4,48.8,22,20,0.89,0.9717,0.25,0.0051,0.6,near_known_gold,confirm,-118.181907,48.507098,-118.17375,48.506528,390.0,3,True,0.0023,,27.0,2,0
-2989878,-119.6,-119.2,48.8,49.2,5,3,0.604,0.92,,0.0039,0.4,near_known_gold,confirm,-119.517847,48.849876,-119.509028,48.863194,700.2,2,True,0.0054,,28.0,2,0
-2999882,-120.0,-119.6,47.2,47.6,1,0,0.145,0.145,,0.5312,59.0,far_from_known_gold,skip,-119.975336,47.537353,-119.975417,47.536806,628.3,1,True,0.0017,,,0,0
-2989882,-119.6,-119.2,47.2,47.6,3,0,0.1433,0.21,,0.5043,56.0,far_from_known_gold,skip,-119.326972,47.519588,-119.341806,47.504028,416.8,1,True,0.0016,,,0,0
-2949882,-117.99999999999996,-117.59999999999997,47.2,47.6,1,0,0.27,0.27,,0.4136,45.9,far_from_known_gold,skip,-117.732993,47.522107,-117.717083,47.508472,738.1,1,True,0.0023,,,0,0
-2969882,-118.79999999999998,-118.39999999999998,47.2,47.6,2,0,0.0575,0.085,,0.3803,42.2,far_from_known_gold,skip,-118.616381,47.507927,-118.599583,47.49125,633.4,2,True,0.004,,,0,0
-2989881,-119.6,-119.2,47.6,48.0,8,0,0.0794,0.175,,0.3802,42.2,far_from_known_gold,skip,-119.242803,47.611534,-119.215139,47.575139,541.7,1,True,0.0386,,,0,0
-2979882,-119.2,-118.79999999999998,47.2,47.6,1,0,0.185,0.185,,0.3577,39.7,far_from_known_gold,skip,-118.984178,47.560425,-118.984306,47.560694,469.7,1,True,0.0071,,,0,0
-2929881,-117.19999999999996,-116.79999999999995,47.6,48.0,8,0,0.0581,0.195,,0.3536,39.2,far_from_known_gold,skip,-117.112706,47.75462,-117.105972,47.772639,741.6,2,True,0.0022,,,0,0
-2939881,-117.59999999999997,-117.19999999999996,47.6,48.0,10,0,0.1105,0.305,,0.3344,37.1,far_from_known_gold,skip,-117.491889,47.784612,-117.490972,47.782361,486.9,3,True,0.2518,,,0,0
-2999881,-120.0,-119.6,47.6,48.0,3,0,0.135,0.195,,0.255,28.3,far_from_known_gold,skip,-119.898118,47.831805,-119.922917,47.836806,681.8,1,True,0.0015,,,0,0
-2949881,-117.99999999999996,-117.59999999999997,47.6,48.0,17,0,0.0629,0.195,,0.226,25.1,far_from_known_gold,skip,-117.84357,47.826831,-117.841528,47.83625,522.5,2,True,0.0292,,,0,0
-3009882,-120.4,-120.0,47.2,47.6,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
-3009881,-120.4,-120.0,47.6,48.0,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
-3009880,-120.4,-120.0,48.0,48.4,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
-3009879,-120.4,-120.0,48.4,48.8,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
-3009878,-120.4,-120.0,48.8,49.2,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
-2939882,-117.59999999999997,-117.19999999999996,47.2,47.6,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
-2929882,-117.19999999999996,-116.79999999999995,47.2,47.6,0,0,,,,,,no_nure,skip,,,,,,0,False,,,,0,0
