walk_rank,block_id,campaign_class,spot_order,role,lon,lat,p_anomalous,elev_m
1,-2939880,expedition,1,pour_point,-117.484115,48.070729,0.94,743.6
2,-2959882,expedition,1,pour_point,-118.127468,47.533767,0.705,689.9
3,-2949880,expedition,1,high_p_sample,-117.626075,48.374902,0.8064,1067.0
3,-2949880,expedition,2,high_p_sample,-117.618019,48.383236,0.845,908.0
3,-2949880,expedition,3,pour_point,-117.830521,48.073225,0.81,709.6
4,-2969880,expedition,1,high_p_sample,-118.469176,48.351,0.88,1037.7
4,-2969880,expedition,2,pour_point,-118.632795,48.355997,0.925,963.0
4,-2969880,expedition,3,high_p_sample,-118.52806,48.066549,0.855,724.5
5,-2979881,expedition,1,high_p_sample,-118.952239,47.860984,0.805,745.9
5,-2979881,expedition,2,high_p_sample,-119.05391,47.830149,0.72,719.6
5,-2979881,expedition,3,pour_point,-118.912229,47.941815,0.94,384.0
6,-2949879,expedition,1,high_p_sample,-117.794424,48.599905,0.93,759.7
6,-2949879,expedition,2,pour_point,-117.828309,48.434067,0.935,631.6
6,-2949879,expedition,3,high_p_sample,-117.848031,48.406289,0.8975,512.4
7,-2979880,expedition,1,high_p_sample,-118.912239,48.394321,0.9533,1067.2
7,-2979880,expedition,2,high_p_sample,-118.912234,48.154879,0.94,677.5
7,-2979880,expedition,3,pour_point,-119.177243,48.137675,0.975,324.6
8,-2929879,expedition,1,high_p_sample,-117.086063,48.734365,0.925,1101.5
8,-2929879,expedition,2,high_p_sample,-117.056618,48.742977,0.95,1015.2
8,-2929879,expedition,3,high_p_sample,-117.061339,48.719921,0.95,970.0
8,-2929879,expedition,4,pour_point,-117.04356,48.70881,0.93,943.8
9,-2939879,expedition,1,pour_point,-117.398565,48.467963,0.89,836.2
10,-2929880,expedition,1,high_p_sample,-117.106872,48.083513,0.81,776.2
10,-2929880,expedition,2,pour_point,-117.175766,48.225738,0.92,630.2
11,-2989880,confirm,1,pour_point,-119.300871,48.202652,0.875,417.7
12,-2979879,confirm,1,high_p_sample,-119.176986,48.557935,0.275,1297.6
12,-2979879,confirm,2,pour_point,-119.175043,48.593213,0.93,1104.6
13,-2949878,confirm,1,pour_point,-117.965268,48.874909,0.29,602.9
14,-2989879,confirm,1,high_p_sample,-119.237829,48.734602,0.95,1035.4
14,-2989879,confirm,2,high_p_sample,-119.587008,48.659317,0.8975,654.2
14,-2989879,confirm,3,pour_point,-119.549497,48.438207,0.835,394.7
15,-2999880,confirm,1,high_p_sample,-118.912234,48.154879,0.94,677.5
15,-2999880,confirm,2,pour_point,-119.656441,48.016534,0.97,386.7
15,-2999880,confirm,3,high_p_sample,-118.912229,47.941815,0.94,384.0
15,-2999880,confirm,4,high_p_sample,-119.177243,48.137675,0.975,324.6
16,-2999879,confirm,1,high_p_sample,-119.873959,48.437925,0.885,1482.3
16,-2999879,confirm,2,pour_point,-119.762295,48.691815,0.735,943.7
17,-2969881,confirm,1,high_p_sample,-118.660563,47.954045,0.95,420.6
17,-2969881,confirm,2,pour_point,-118.542012,47.894879,0.9905,384.0
17,-2969881,confirm,3,high_p_sample,-118.541912,47.894879,0.905,384.0
18,-2939878,confirm,1,high_p_sample,-117.147459,48.839646,0.87,1325.3
18,-2939878,confirm,2,high_p_sample,-117.116904,48.876315,0.948,1141.1
18,-2939878,confirm,3,high_p_sample,-117.286629,48.769642,0.88,933.9
18,-2939878,confirm,4,pour_point,-117.292742,48.856867,0.8528,801.6
19,-2999878,confirm,1,high_p_sample,-119.83147,48.914042,0.73,1516.7
19,-2999878,confirm,2,pour_point,-119.733966,48.851263,0.72,866.5
20,-2959881,confirm,1,high_p_sample,-118.070253,47.951273,0.84,898.2
20,-2959881,confirm,2,high_p_sample,-118.317488,47.91377,0.865,471.8
20,-2959881,confirm,3,pour_point,-118.353003,47.954882,0.9362,384.0
21,-2979878,confirm,1,high_p_sample,-118.912249,48.819329,0.8967,993.9
21,-2979878,confirm,2,pour_point,-119.025597,48.972401,0.925,927.2
21,-2979878,confirm,3,high_p_sample,-118.865549,48.896993,0.845,718.7
22,-2969878,confirm,1,pour_point,-118.673919,48.85878,0.9,887.2
23,-2959880,confirm,1,high_p_sample,-117.794424,48.599905,0.93,759.7
23,-2959880,confirm,2,high_p_sample,-118.268333,48.433505,0.905,676.0
23,-2959880,confirm,3,high_p_sample,-118.181907,48.507098,0.9717,390.0
23,-2959880,confirm,4,pour_point,-118.193,48.194289,0.9754,388.5
24,-2929878,confirm,1,high_p_sample,-117.147459,48.839646,0.87,1325.3
24,-2929878,confirm,2,high_p_sample,-117.101904,48.884371,0.865,1225.4
24,-2929878,confirm,3,high_p_sample,-117.116904,48.876315,0.948,1141.1
24,-2929878,confirm,4,pour_point,-117.187739,48.840757,0.86,1016.9
25,-2959878,confirm,1,pour_point,-118.038882,48.85713,0.84,863.4
26,-2969879,confirm,1,high_p_sample,-118.924478,48.58266,0.885,1131.2
26,-2969879,confirm,2,high_p_sample,-118.912239,48.394321,0.9533,1067.2
26,-2969879,confirm,3,high_p_sample,-118.882805,48.370992,0.8442,985.8
26,-2969879,confirm,4,pour_point,-118.779193,48.458772,0.785,630.9
27,-2959879,confirm,1,high_p_sample,-118.268333,48.433505,0.905,676.0
27,-2959879,confirm,2,high_p_sample,-118.010265,48.717961,0.945,591.1
27,-2959879,confirm,3,pour_point,-118.181907,48.507098,0.9717,390.0
28,-2989878,confirm,1,high_p_sample,-119.534515,48.866543,0.835,786.9
28,-2989878,confirm,2,pour_point,-119.517847,48.849876,0.92,700.2
29,-2999882,skip,1,pour_point,-119.975336,47.537353,0.145,628.3
30,-2989882,skip,1,pour_point,-119.326972,47.519588,0.21,416.8
31,-2949882,skip,1,pour_point,-117.732993,47.522107,0.27,738.1
32,-2969882,skip,1,pour_point,-118.616381,47.507927,0.085,633.4
32,-2969882,skip,2,high_p_sample,-118.782502,47.565148,0.03,588.2
33,-2989881,skip,1,pour_point,-119.242803,47.611534,0.075,541.7
34,-2979882,skip,1,pour_point,-118.984178,47.560425,0.185,469.7
35,-2929881,skip,1,high_p_sample,-117.126039,47.874899,0.0386,1051.6
35,-2929881,skip,2,pour_point,-117.112706,47.75462,0.195,741.6
36,-2939881,skip,1,high_p_sample,-117.106872,48.083513,0.81,776.2
