name,commodity,lon,lat,mag_anomaly_nT,mag_high,th_value_ppm,th_source,th_local_ppm,th_assign_lab_id,th_assign_dist_km,multicommodity_target,priority_score,y_near,y_value_ppm,rad_K,rad_eTh,rad_eU,rad_eU_eTh,rad_K_eTh,rad_eTh_high,rad_th_agree
Bossburg Placer,placer_gold,-117.8,48.72,154.6970431823809,False,33.0,MONAZITE,33.0,C178928,10.792303986154176,False,2,False,,0.9918888211250305,6.406742572784424,1.2249573469161987,0.1911981530395441,0.15481952175486696,False,stream_only
Brender Placer,placer_gold,-119.42,48.51,229.24105051066246,True,,,3.0,C164832,10.767916376924534,False,1,False,,1.0670504570007324,3.1306800842285156,0.8369334936141968,0.2673328066417364,0.34083663239058887,False,neither
Kettle Falls Placer,placer_gold,-118.06,48.6,319.1765205139294,True,,,14.1,C226226,5.08697439044764,False,1,False,,1.676873803138733,7.418890476226807,2.7129886150360107,0.3656865704824122,0.2260275722511513,False,neither
Old Dominion Mine,gold_lode,-118.25,48.43,275.0819369783208,True,,,11.0,C165499,2.071790570609619,False,1,False,,1.0619207620620728,6.266149520874023,1.6842695474624634,0.268788598460947,0.1694694259248944,False,neither
Colville Placer,placer_gold,-117.9,48.55,293.3156306828235,True,,,,,,False,1,False,,1.1913726329803467,7.461705207824707,2.3322861194610596,0.31256744329906133,0.15966492910106062,False,neither
Hunters Placer,placer_gold,-118.21,48.14,257.07441968898786,True,,,20.0,C164654,5.756815019715839,False,1,False,,1.164271593093872,5.960470676422119,2.515150308609009,0.4219717611493684,0.19533215685455688,False,neither
Conconully Placer,placer_gold,-119.75,48.55,105.94106145583943,False,,,,,,False,0,False,,1.3737225532531738,4.71693229675293,1.9514687061309814,0.41371564893444523,0.2912321964423414,False,neither
Republic Gold District,gold_lode,-118.73,48.65,171.34641571269947,False,,,,,,False,0,False,,1.7878005504608154,6.534084320068359,1.7323479652404785,0.26512482551225397,0.27361149059094353,False,neither
Oroville Placer,placer_gold,-119.43,48.94,-3.008888276283442,False,,,,,,False,0,False,,1.595643401145935,4.902690410614014,1.2164533138275146,0.24811954497350483,0.32546281072357097,False,neither
Meyers Creek Placer,placer_gold,-119.1,48.32,45.41899928096869,False,,,9.0,C165397,8.975070041117675,False,0,False,,1.2498970031738281,4.043139934539795,2.233595848083496,0.5524408959982564,0.3091401790218018,False,neither
Sanpoil River Placer,placer_gold,-118.85,48.2,16.5045012287142,False,,,13.8,C244552,8.532585052293062,False,0,False,,1.467502474784851,4.909078121185303,1.3354136943817139,0.27202942414354503,0.2989364680207046,False,neither
Northport Placer,placer_gold,-117.78,48.92,41.92147783134295,False,,,11.0,C178794,11.050652129410198,False,0,False,,1.2185646295547485,6.106951713562012,1.4846876859664917,0.24311436467875974,0.19953729564434272,False,neither
