site,tonnage_t,ndpr_ppm,ndpr_oxide_t,mnz_concentrate_t,y2o3_t_p50,y2o3_co_rev_$M,cost_handling_$M,cost_concentr_$M,cost_logistics_$M,cost_processing_$M,total_cost_$M,rev_low_$M,rev_central_$M,rev_high_$M,npv_low_$M,npv_central_$M,npv_high_$M,breakeven_$/kg,confidence
Bossburg Placer,210000,338.0,66.0,710.0,0.0,0.0,1.1,2.1,0.1,3.3,6.6,4.0,7.2,9.3,-2.6,0.6,2.7,99.2,MEDIUM
Hunters Placer,202500,205.0,39.0,415.0,0.0,0.0,1.0,2.0,0.1,1.9,5.0,2.3,4.2,5.4,-2.7,-0.8,0.4,130.1,HIGH
Meyers Creek Placer,105000,92.0,9.0,97.0,0.0,0.0,0.5,1.1,0.0,0.5,2.0,0.5,1.0,1.3,-1.5,-1.1,-0.8,226.4,MEDIUM
Northport Placer,157500,112.0,16.0,176.0,0.0,0.0,0.8,1.6,0.0,0.8,3.2,1.0,1.8,2.3,-2.2,-1.4,-0.9,195.2,MEDIUM
Kettle Falls Placer,247500,144.0,33.0,356.0,0.0,0.0,1.2,2.5,0.1,1.7,5.4,2.0,3.6,4.7,-3.4,-1.8,-0.8,163.3,MEDIUM
Brender Placer,168000,31.0,5.0,52.0,0.0,0.0,0.8,1.7,0.0,0.2,2.8,0.3,0.5,0.7,-2.5,-2.2,-2.1,570.3,MEDIUM
Colville Placer,367500,82.0,28.0,301.0,0.0,0.0,1.8,3.7,0.0,1.4,7.0,1.7,3.1,3.9,-5.3,-3.9,-3.0,247.7,HIGH
Sanpoil River Placer,607500,141.0,80.0,857.0,0.0,0.0,3.0,6.1,0.1,4.0,13.2,4.8,8.7,11.2,-8.4,-4.5,-2.0,165.7,LOW
Conconully Placer,510000,82.0,39.0,418.0,0.0,0.0,2.5,5.1,0.1,2.0,9.7,2.3,4.3,5.5,-7.3,-5.4,-4.2,247.7,MEDIUM
Old Dominion Mine,1440000,112.0,150.0,1613.0,0.0,0.0,7.2,14.4,0.2,7.5,29.4,9.0,16.4,21.1,-20.3,-13.0,-8.3,195.2,LOW
Republic Gold District,1350000,82.0,103.0,1107.0,0.0,0.0,6.8,13.5,0.2,5.2,25.6,6.2,11.3,14.5,-19.4,-14.3,-11.1,247.7,LOW
Oroville Placer,1650000,82.0,126.0,1353.0,0.0,0.0,8.2,16.5,0.2,6.3,31.3,7.6,13.8,17.7,-23.7,-17.5,-13.6,247.7,HIGH
